PRODUCT_ID,PRODUCT_NAME,CATEGORY,SUB_CATEGORY,BRAND,PRICE,TOTAL_ORDERS,TOTAL_QUANTITY_SOLD,GROSS_REVENUE,NET_REVENUE,REFUND_AMOUNT,AVG_SELLING_PRICE
PROD001204,NINTENDO ESHOP RS.3000 CARD,GAMING,GAME CODES,NINTENDO,3000.0,670,2015,16844726.64,15236958.68,1607767.96,8359.67
PROD000807,DIGEST SENSITIVE DRY FOOD 1.5KG,PETS,DOG FOOD,HILLS SCIENCE DIET,2499.0,367,821,5905984.42,5328152.22,577832.2,7193.65
PROD001160,SV-150 ELECTRIC BLUE VIOLIN,MUSIC & INSTRUMENTS,VIOLINS,YAMAHA,79999.0,397,573,130472499.5,110843019.95,19629479.55,227700.7
PROD000015,ASUS ROG ZEPHYRUS G14,ELECTRONICS,LAPTOP,ASUS,139990.0,459,663,266068441.4,223277067.76,42791373.64,401309.87
PROD000248,QUILTED MATTRESS TOPPER,HOME,BEDDINGS,SPACES,2999.0,698,2080,17128224.17,15647398.96,1480825.21,8234.72
PROD001016,GEL-RESOLUTION 9 TENNIS,FOOTWEAR,SPORTS SHOES,ASICS,12999.0,384,648,23989696.24,21876263.86,2113432.38,37021.14
PROD000467,CYCLE TYRE 26X2.1,SPORTS,CYCLING,SCHWALBE,1299.0,541,1167,4200144.03,3818773.9400000004,381370.09,3599.1
PROD000657,BANANA WALNUT MUFFIN PACK OF 4,GROCERIES,BAKERY,DUNZO BAKERY,199.0,614,3802,2106553.46,1796805.31,309748.15,554.06
PROD000329,HOT AIR BRUSH ROTATING,BEAUTY,GROOMING TOOLS,REMINGTON,3499.0,605,1563,15023729.52,13397366.719999999,1626362.8,9612.11
PROD001258,CREPE PAPER CRAFT ROLLS,OFFICE SUPPLIES,PAPER SUPPLIES,DELI,199.0,632,2746,1497278.08,1315711.6700000002,181566.41,545.26
PROD000902,ORIGAMI PAPER 100 SHEETS,STATIONERY,CRAFT MATERIALS,TUTTLE PUBLISHING,399.0,951,4331,4983293.82,4711977.09,271316.73,1150.61
PROD000479,EAR PLUGS SILICONE SWIM,SPORTS,SWIMMING,ZOGGS,299.0,805,5143,4350900.48,3731913.0800000005,618987.4,845.98
PROD001213,ECOTANK ET-2850 INKJET,OFFICE SUPPLIES,PRINTERS,EPSON,19999.0,300,433,25019501.82,21641870.93,3377630.89,57781.76
PROD001014,COURT ZOOM PRO TENNIS,FOOTWEAR,SPORTS SHOES,NIKE,8995.0,460,664,16388973.98,14724720.97,1664253.01,24682.19
PROD001224,ERGONOMIC CHAIR E1,OFFICE SUPPLIES,OFFICE CHAIRS,DURIAN,12999.0,531,767,28628336.0,24354825.259999998,4273510.74,37325.08
PROD000214,MIXER GRINDER 750W,HOME,KITCHEN,BUTTERFLY,3499.0,422,965,9521277.76,8249559.54,1271718.22,9866.61
PROD000474,KICKBOARD TRAINING AID,SPORTS,SWIMMING,FINIS,999.0,626,2345,6633473.66,5662472.42,971001.24,2828.77
PROD000125,SCHOOL UNIFORM SHIRT,CLOTHING,KIDS,NUMERO UNO,549.0,488,2639,4079218.77,3509600.01,569618.76,1545.74
PROD000517,FLOOR PUZZLE 36PCS ANIMALS,TOYS,PUZZLES,MELISSA & DOUG,799.0,814,1617,3750412.1,3365182.85,385229.25,2319.36
PROD000630,ZUCCHINI GREEN 500G,GROCERIES,VEGETABLES,NATURE'S BASKET,79.0,958,3793,856765.82,741397.25,115368.57,225.88
PROD000570,WINDSHIELD FLYSCREEN DARK,AUTOMOTIVE,MOTORBIKE ACCESSORIES,PUIG,3499.0,492,711,7039674.53,6030106.25,1009568.28,9901.09
PROD000549,GESTURE CONTROLLED ROBOT,TOYS,REMOTE CONTROL TOYS,MEKAMON,6999.0,476,878,17827843.05,16032599.56,1795243.49,20305.06
PROD000372,THE 7 HABITS OF HIGHLY EFFECTIVE PEOPLE,BOOKS,SELF-HELP,STEPHEN COVEY / SIMON & SCHUSTER,499.0,453,995,1362567.35,1307022.53,55544.82,1369.41
PROD000561,SADDLE BAG PAIR WATERPROOF,AUTOMOTIVE,MOTORBIKE ACCESSORIES,RYNOX,2999.0,559,807,6780784.13,5940173.53,840610.6,8402.46
PROD000928,STERLING SILVER BANGLE SET 6,JEWELLERY,SILVER,GIVA,1999.0,794,1272,7032334.29,6118309.64,914024.65,5528.56
PROD000741,CERELAC WHEAT 300G STAGE 1,BABY,BABY FOOD,NESTLÉ CERELAC,249.0,606,1476,1008432.18,896401.2100000001,112030.97,683.22
PROD000174,SPORTS BRA MEDIUM SUPPORT,CLOTHING,INNERWEAR,NIKE,2495.0,748,1706,11703796.88,10395192.290000001,1308604.59,6860.37
PROD000091,PLAYSTATION 5 DISC EDITION,ELECTRONICS,GAMING CONSOLES,SONY,54990.0,345,498,76144615.75,65585890.4,10558725.35,152900.83
PROD000887,PROJECT FOLDER ZIPPER A4,STATIONERY,FILES & FOLDERS,POPPIN,699.0,851,2387,4792368.77,4455350.149999999,337018.62,2007.7
PROD000455,HOCKEY STICK CARBON FIBRE,SPORTS,SPORTS EQUIPMENT,GRAYS,3999.0,701,1012,11529903.14,10336338.14,1193565.0,11393.18
PROD000575,"TORQUE WRENCH 1/2"" DRIVE",AUTOMOTIVE,TOOLS,BAHCO,3499.0,743,2083,20069779.29,18071251.46,1998527.83,9635.04
PROD000901,EVA FOAM SHEETS 10-COLOR,STATIONERY,CRAFT MATERIALS,FLAIR,299.0,1108,4094,3450481.02,3191934.26,258546.76,842.81
PROD000196,TABLE CLOCK VINTAGE,HOME,DECOR,SEIKO,2499.0,553,1426,10071085.21,8823268.940000001,1247816.27,7062.47
PROD000136,LOAFERS SLIP-ON,CLOTHING,FOOTWEAR,HUSH PUPPIES,3999.0,636,919,10418240.69,9234218.5,1184022.19,11336.5
PROD000565,USB PHONE CHARGER FOR BIKE,AUTOMOTIVE,MOTORBIKE ACCESSORIES,OXFORD,999.0,572,1005,2856974.49,2430507.2700000005,426467.22,2842.76
PROD000322,FLAT IRON CERAMIC PLATES,BEAUTY,GROOMING TOOLS,VEGA,1799.0,758,1095,5627260.45,5148884.57,478375.88,5139.05
PROD000062,GALAXY TAB S9 ULTRA,ELECTRONICS,TABLETS,SAMSUNG,108999.0,375,542,167642934.24,138784678.38,28858255.86,309304.31
PROD000847,CAT COMB FLEA STAINLESS,PETS,GROOMING,JW PET,399.0,772,1847,2098868.25,1855497.1099999999,243371.14,1136.37
PROD000810,DENTAL TREATS 180G,PETS,DOG FOOD,GREENIES,799.0,831,1770,4105587.37,3660913.43,444673.94,2319.54
PROD000343,THE SUBTLE ART OF NOT GIVING A F*CK,BOOKS,NON-FICTION,MARK MANSON / HARPERCOLLINS,399.0,566,1368,1492884.54,1407865.21,85019.33,1091.29
PROD000360,LUCENT GENERAL KNOWLEDGE 2024,BOOKS,EDUCATIONAL,LUCENT PUBLICATIONS,299.0,774,2216,1917939.54,1830379.2,87560.34,865.5
PROD000535,GIRAFFE SOFT TOY 60CM,TOYS,SOFT TOYS,MELISSA & DOUG,1999.0,796,1218,6732870.15,5799120.3100000005,933749.84,5527.81
PROD000602,BRU GOLD COFFEE 200G,GROCERIES,BEVERAGES,BRU,329.0,911,3184,3017726.29,2750465.77,267260.52,947.78
PROD001183,STEELSERIES APEX PRO TKL KEYBOARD,GAMING,GAMING ACCESSORIES,STEELSERIES,14999.0,395,570,24072304.9,20947541.52,3124763.38,42232.11
PROD000098,ATARI VCS 800,ELECTRONICS,GAMING CONSOLES,ATARI,24999.0,424,634,43430672.59,33683570.96,9747101.63,68502.64
PROD000118,DENIM JACKET OVERSIZE,CLOTHING,WOMEN,H&M,2999.0,604,873,7215919.17,5915791.74,1300127.43,8265.66
PROD000969,ADJUSTABLE CRYSTAL BANGLE,JEWELLERY,BRACELETS,SUKKHI,599.0,986,2792,4837534.58,4424220.15,413314.43,1732.64
PROD000548,RC EXCAVATOR CONSTRUCTION,TOYS,REMOTE CONTROL TOYS,DOUBLE E,4499.0,572,1249,16187280.56,14639117.8,1548162.76,12960.19
PROD000798,BREASTMILK STORAGE BAGS 25PCS,BABY,FEEDING ESSENTIALS,MEDELA,699.0,965,3665,7257050.31,6565017.26,692033.05,1980.1
PROD000297,1 MILLION EDT 100ML,BEAUTY,FRAGRANCE,PACO RABANNE,7500.0,379,547,11511040.69,10562297.53,948743.16,21043.95
PROD001226,BUDGET OFFICE CHAIR OC001,OFFICE SUPPLIES,OFFICE CHAIRS,NILKAMAL,6999.0,409,903,17887502.32,15861099.940000001,2026402.38,19808.97
PROD000800,STERILIZER STEAM ELECTRIC 6-BOTTLE,BABY,FEEDING ESSENTIALS,PHILIPS AVENT,4999.0,567,819,11248171.9,10016404.86,1231767.04,13734.03
PROD000309,TALCUM POWDER 300G,BEAUTY,PERSONAL CARE,PONDS,179.0,992,4802,2404485.63,2167346.4899999998,237139.14,500.73
PROD000071,SOUNDBAR HW-Q990C,ELECTRONICS,SPEAKERS,SAMSUNG,79990.0,557,804,176516360.85,138470098.07999998,38046262.77,219547.71
PROD000102,CLASSIC OXFORD SHIRT,CLOTHING,MEN,ALLEN SOLLY,1799.0,801,1157,5863295.81,5176897.399999999,686398.41,5067.67
PROD000498,JUNIOR CODING KIT,TOYS,EDUCATIONAL,KANO,4999.0,482,696,9578816.66,8559686.73,1019129.93,13762.67
PROD000931,OXIDISED CHOKER NECKLACE SET,JEWELLERY,FASHION JEWELLERY,ZAVERI PEARLS,599.0,627,2131,3599360.72,3285136.0700000003,314224.65,1689.05
PROD000203,MICROWAVE OVEN CONVECTION 28L,HOME,APPLIANCES,IFB,12990.0,620,1161,43307159.43,39705686.43,3601473.0,37301.6
PROD000640,WATERMELON WHOLE,GROCERIES,FRUITS,FRESHO,199.0,789,2848,1612265.59,1381265.05,231000.54,566.1
PROD000835,EYE DROPS PET ANTIBIOTIC,PETS,HEALTHCARE,CIPLA VET,149.0,1038,6482,2704712.81,2393490.0,311222.81,417.27
PROD000354,WREN & MARTIN ENGLISH GRAMMAR,BOOKS,EDUCATIONAL,WREN & MARTIN / S.CHAND,349.0,748,4659,4669446.03,4452231.11,217214.92,1002.24
PROD000622,BABY SPINACH 200G,GROCERIES,VEGETABLES,FRESHO,59.0,1218,5987,995366.74,882700.51,112666.23,166.25
PROD000953,MANGALSUTRA GOLD 22KT 8G,JEWELLERY,NECKLACES,MALABAR GOLD,52000.0,519,750,110903559.69,100023690.50999999,10879869.18,147871.41
PROD000050,FIRE-BOLTT PHOENIX ULTRA,ELECTRONICS,SMARTWATCH,FIRE-BOLTT,4499.0,750,1284,15802834.25,12217685.01,3585149.24,12307.5
PROD000110,LINEN KURTA,CLOTHING,MEN,MANYAVAR,2499.0,527,937,6758977.11,6060322.23,698654.88,7213.42
PROD000501,IRON MAN MARK 85 FIGURE 30CM,TOYS,ACTION FIGURES,HOT TOYS,14999.0,543,923,39206375.55,35242201.95999999,3964173.59,42477.11
PROD000293,CHANEL NO.5 EDP 100ML,BEAUTY,FRAGRANCE,CHANEL,18000.0,584,900,46581658.14,41833145.18,4748512.96,51757.4
PROD000296,OUD WOOD EDP 100ML,BEAUTY,FRAGRANCE,TOM FORD,24000.0,527,768,52358665.69,46465023.18,5893642.51,68175.35
PROD001038,DERBY SHOE PERFORATED,FOOTWEAR,FORMAL SHOES,U.S. POLO ASSN.,2499.0,730,2173,15562531.05,13432235.16,2130295.89,7161.77
PROD000250,BOLSTER PILLOW SET,HOME,BEDDINGS,STORY@HOME,799.0,558,1503,3385368.97,2920541.4800000004,464827.49,2252.41
PROD000402,GOODNIGHT MOON,BOOKS,CHILDREN BOOKS,MARGARET WISE BROWN / PAN MACMILLAN,399.0,655,3361,3747027.21,3540850.25,206176.96,1114.85
PROD000935,ARTIFICIAL DIAMOND BANGLES SET 6,JEWELLERY,FASHION JEWELLERY,SUKKHI,699.0,510,1883,3768669.31,3481551.97,287117.34,2001.42
PROD001250,SONY VPL-FHZ60 6000L LASER,OFFICE SUPPLIES,PROJECTORS,SONY,499999.0,438,633,910101846.3,821210573.63,88891272.67,1437759.63
PROD000981,AIR FORCE 1 LOW WHITE,FOOTWEAR,MEN FOOTWEAR,NIKE,9995.0,647,934,25706996.4,22513512.74,3193483.66,27523.55
PROD000340,THE GOD OF SMALL THINGS,BOOKS,FICTION,ARUNDHATI ROY / PENGUIN,299.0,1014,3760,3263760.61,3075469.01,188291.6,868.02
PROD000180,CAMISOLE PACK OF 2,CLOTHING,INNERWEAR,MARKS & SPENCER,999.0,800,3243,9212870.69,8226833.52,986037.17,2840.85
PROD000424,CARABINER LOCKING D-RING,SPORTS,OUTDOOR,BLACK DIAMOND,999.0,673,1335,3705915.86,3370313.38,335602.48,2775.97
PROD000522,MONOPOLY CLASSIC EDITION,TOYS,BOARD GAMES,HASBRO GAMING,1499.0,654,1098,4544470.97,3980841.0199999996,563629.95,4138.86
PROD000258,HANGING ORGANIZER 30 POCKETS,HOME,HOME STORAGE,AMAZONBASICS,599.0,751,2459,4180633.49,3692737.37,487896.12,1700.14
PROD001192,PLAYSTATION VR2,GAMING,VR DEVICES,SONY,54990.0,586,846,133886441.24,121555533.94,12330907.3,158258.2
PROD000200,GEOMETRIC TERRARIUM,HOME,DECOR,NESTASIA,1499.0,872,2041,8496817.68,7279925.81,1216891.87,4163.07
PROD000952,DIAMOND PENDANT NECKLACE 0.25CT,JEWELLERY,NECKLACES,ORRA,35000.0,442,638,63713053.73,57552523.779999994,6160529.95,99863.72
PROD001257,THERMAL PAPER ROLLS 80MM 20PCS,OFFICE SUPPLIES,PAPER SUPPLIES,GENERIC,499.0,889,2365,3279111.95,2922702.4000000004,356409.55,1386.52
PROD001186,HYPERX CLOUD ALPHA S HEADSET,GAMING,GAMING ACCESSORIES,HYPERX,7999.0,689,995,22653168.49,19418385.27,3234783.22,22767.0
PROD000466,CYCLE SPEEDOMETER WIRELESS,SPORTS,CYCLING,CATEYE,1499.0,729,1684,6963854.68,6108908.33,854946.35,4135.31
PROD000363,PERSEPOLIS,BOOKS,COMICS,MARJANE SATRAPI / VINTAGE,699.0,662,2098,4175910.1,3958700.19,217209.91,1990.42
PROD000152,BANARASI SILK SAREE,CLOTHING,ETHNIC WEAR,TANEIRA,7999.0,356,514,11559768.36,9978771.91,1580996.45,22489.82
PROD000711,TRIPHALA CHURNA 500G,HEALTH,AYURVEDA,DABUR,199.0,956,3128,1715340.86,1469142.1,246198.76,548.38
PROD000848,CONDITIONER COAT SHINE SPRAY 200ML,PETS,GROOMING,BIO-GROOM,699.0,850,4241,8277337.3,7579793.359999999,697543.94,1951.74
PROD000539,PENGUIN PLUSH MUSICAL,TOYS,SOFT TOYS,FISHER-PRICE,999.0,539,1708,4875190.88,4399290.6,475900.28,2854.33
PROD000055,"FIRE TV OMNI QLED 65""",ELECTRONICS,TV,AMAZON,89999.0,281,406,100510550.29,79518357.93,20992192.36,247562.93
PROD000589,CARPLAY WIRELESS ADAPTER,AUTOMOTIVE,CAR ELECTRONICS,CARLINKIT,3999.0,652,1769,20449980.82,18171535.01,2278445.81,11560.19
PROD000336,THE KITE RUNNER,BOOKS,FICTION,KHALED HOSSEINI / BLOOMSBURY,349.0,639,3921,3745025.11,3564076.46,180948.65,955.12
PROD000128,WINTER JACKET PADDED,CLOTHING,KIDS,MOTHERCARE,1999.0,490,1774,9743494.35,8411857.26,1331637.09,5492.39
PROD001245,OPTOMA EH400 FULL HD 4000L,OFFICE SUPPLIES,PROJECTORS,OPTOMA,89999.0,306,442,114665065.01,98027563.67,16637501.34,259423.22
PROD000488,SHAPE SORTER CUBE,TOYS,INFANT,MELISSA & DOUG,1299.0,823,1569,5614560.05,5100341.33,514218.72,3578.43
PROD000569,TANK BAG MAGNETIC 15L,AUTOMOTIVE,MOTORBIKE ACCESSORIES,GIVI,4999.0,566,984,14095126.22,12731152.68,1363973.54,14324.32
PROD000406,GERONIMO STILTON COLLECTION,BOOKS,CHILDREN BOOKS,SCHOLASTIC,1499.0,511,1073,4504731.71,4242522.1899999995,262209.52,4198.26
PROD000318,BATHROBE TERRY COTTON,BEAUTY,BATH & BODY,TRIDENT,1499.0,616,1122,4605892.55,4131810.17,474082.38,4105.07
PROD000753,COT MOBILE MUSICAL STARS,BABY,TOYS,CLOUD B,2999.0,537,776,6485153.78,5669288.92,815864.86,8357.16
PROD000695,GLUCOMETER KIT,HEALTH,MEDICAL EQUIPMENT,ACCU-CHEK,1499.0,682,1933,8392983.5,7245688.35,1147295.15,4341.95
PROD001148,NEUMANN TLM 102 CONDENSER,MUSIC & INSTRUMENTS,MICROPHONES,NEUMANN,84999.0,475,686,163515178.15,146848639.93,16666538.22,238360.32
PROD001168,STARFIELD PC GAME PASS,GAMING,PC GAMES,BETHESDA,3499.0,545,1098,10522159.1,9431225.34,1090933.76,9583.02
PROD000490,CRIB MOBILE PROJECTOR,TOYS,INFANT,VTECH,2499.0,533,859,6213089.7,5464420.54,748669.16,7232.93
PROD001152,STUDENT II VIOLIN 3/4,MUSIC & INSTRUMENTS,VIOLINS,STENTOR,7499.0,331,716,15543899.38,13767758.65,1776140.73,21709.36
PROD001196,PICO 4 256GB ALL-IN-ONE VR,GAMING,VR DEVICES,BYTEDANCE PICO,39999.0,273,394,43672273.05,38501402.20999999,5170870.84,110843.33
PROD000048,BOAT ENIGMA X600,ELECTRONICS,SMARTWATCH,BOAT,4499.0,408,659,8486828.09,6629340.55,1857487.54,12878.34
PROD000660,BISCOTTI ALMOND 150G,GROCERIES,BAKERY,L'OPERA,299.0,502,1666,1407807.54,1283506.33,124301.21,845.02
PROD000844,DESHEDDING TOOL MEDIUM DOG,PETS,GROOMING,FURMINATOR,3499.0,663,958,9576833.22,8215435.670000001,1361397.55,9996.69
PROD000286,HAIR MASK HONEY 200ML,BEAUTY,HAIRCARE,GARNIER,299.0,656,2443,2087189.05,1944285.17,142903.88,854.35
PROD000672,CHICKEN NUGGETS 400G,GROCERIES,FROZEN FOOD,VENKY'S,299.0,1045,3245,2755079.44,2402629.31,352450.13,849.02
PROD000761,STROLLER TRAVEL SYSTEM,BABY,BABY GEAR,CHICCO,24999.0,320,462,33253402.95,30346576.22,2906826.73,71977.06
PROD001166,THE WITCHER 3 GOTY PC,GAMING,PC GAMES,CD PROJEKT RED,1499.0,779,1360,5710683.1,5042200.4799999995,668482.62,4199.03
PROD001069,BOHO FRINGE BAG,BAGS & LUGGAGE,HANDBAGS,ALDO,3499.0,594,1609,15473281.54,13202941.26,2270340.28,9616.71
PROD000547,MINI DRONE WITH CAMERA,TOYS,REMOTE CONTROL TOYS,SYMA,2999.0,696,1457,12059269.06,10425104.07,1634164.99,8276.78
PROD000457,VOLLEYBALL BEACH PRO,SPORTS,SPORTS EQUIPMENT,MIKASA,1999.0,752,2656,15218636.07,13961112.34,1257523.73,5729.91
PROD001215,WORKFORCE PRO WF-3820,OFFICE SUPPLIES,PRINTERS,EPSON,9999.0,439,828,24004769.81,20897163.419999998,3107606.39,28991.27
PROD000047,NOISE COLORFIT ULTRA 3,ELECTRONICS,SMARTWATCH,NOISE,3999.0,418,914,10347339.36,9021522.79,1325816.57,11320.94
PROD000603,MINUTE MAID PULPY ORANGE 1L,GROCERIES,BEVERAGES,MINUTE MAID,99.0,793,3278,923472.24,846047.19,77425.05,281.72
PROD000613,BRITANNIA NUTRICHOICE OATMEAL COOKIES,GROCERIES,SNACKS,BRITANNIA,50.0,1079,9363,1295750.64,1174760.27,120990.37,138.39
PROD000213,AIR FRYER 4.2L,HOME,KITCHEN,PHILIPS,7499.0,650,1184,24369598.03,22122493.310000002,2247104.72,20582.43
PROD000449,SWEATBAND WRIST PACK OF 2,SPORTS,ATHLETIC WEAR,HEAD,399.0,1033,5557,6350786.43,5773915.42,576871.01,1142.84
PROD000256,VACUUM STORAGE BAGS PACK OF 6,HOME,HOME STORAGE,SPACESAVE,799.0,730,1412,3094623.88,2817412.94,277210.94,2191.66
PROD000147,STOLE GEORGETTE,CLOTHING,ACCESSORIES,BIBA,799.0,853,3228,7477465.97,6702362.83,775103.14,2316.44
PROD000993,PLATFORM SNEAKER WHITE,FOOTWEAR,WOMEN FOOTWEAR,NEW BALANCE 530,9999.0,525,758,22004864.2,19237534.08,2767330.12,29030.16
PROD000440,TABLE TENNIS BAT BUTTERFLY,SPORTS,INDOOR,BUTTERFLY,2499.0,519,1361,9344687.17,8536598.3,808088.87,6866.04
PROD000003,PIXEL 8 PRO,ELECTRONICS,MOBILE,GOOGLE,106999.0,464,670,198306366.68,169615776.69,28690589.99,295979.65
PROD000251,STACKABLE STORAGE BOXES SET OF 6,HOME,HOME STORAGE,IKEA,1499.0,486,894,3845569.8,3503903.65,341666.15,4301.53
PROD000238,PENDANT LIGHT INDUSTRIAL,HOME,LIGHTING,JAINSONS EMPORIO,2999.0,447,826,7154132.28,6220526.49,933605.79,8661.18
