CITY,STATE,REGION,AREA_TYPE,TOTAL_ORDERS,TOTAL_REVENUE,AVG_ORDER_VALUE,TOTAL_REFUND
PATIALA,PUNJAB,NORTH,SEMI-URBAN,6596,297742573.79,44786.79,35989872.77
TIRUNELVELI,TAMIL NADU,SOUTH,SEMI-URBAN,7255,346502606.25,47433.62,40427198.19
SALEM,TAMIL NADU,SOUTH,SEMI-URBAN,7030,333272194.02,46926.53,38466779.68
KANPUR,UTTAR PRADESH,NORTH,URBAN,6935,294102904.48,42129.05,40383454.63
TINSUKIA,ASSAM,EAST,SEMI-URBAN,6792,291262432.90,42427.16,36613262.75
DIBRUGARH,ASSAM,EAST,SEMI-URBAN,6883,310682748.78,44786.33,35298196.81
LUCKNOW,UTTAR PRADESH,NORTH,URBAN,6746,308266451.28,45299.99,28935072.64
COIMBATORE,TAMIL NADU,SOUTH,URBAN,6720,289106170.86,42666.20,38293019.54
KOLHAPUR,MAHARASHTRA,WEST,SEMI-URBAN,7448,329422160.29,43835.28,51690576.82
MADURAI,TAMIL NADU,SOUTH,URBAN,6591,287842657.54,43258.59,31946930.69
JUNAGADH,GUJARAT,WEST,SEMI-URBAN,6889,320221242.21,46055.12,42536399.89
BELAGAVI,KARNATAKA,SOUTH,SEMI-URBAN,7159,281580154.23,38967.64,36099329.68
HOWRAH,WEST BENGAL,EAST,SEMI-URBAN,6872,296055619.82,42659.31,35077319.01
BENGALURU,KARNATAKA,SOUTH,URBAN,6865,307500104.63,44346.71,35149363.04
HOSHIARPUR,PUNJAB,NORTH,SEMI-URBAN,6828,306805521.24,44632.75,47781701.44
MEERUT,UTTAR PRADESH,NORTH,SEMI-URBAN,6842,309891332.51,44775.51,43184349.54
HALDIA,WEST BENGAL,EAST,SEMI-URBAN,6988,286025036.22,40484.79,37757489.12
ALAPPUZHA,KERALA,SOUTH,SEMI-URBAN,6806,279652292.69,40700.38,34141043.32
HYDERABAD,TELANGANA,SOUTH,URBAN,6794,298555173.79,43521.16,30449417.18
TUMAKURU,KARNATAKA,SOUTH,SEMI-URBAN,7048,337040088.24,47483.81,44129254.40
SILIGURI,WEST BENGAL,EAST,SEMI-URBAN,6757,271065387.33,39745.66,35082753.95
MANGALURU,KARNATAKA,SOUTH,SEMI-URBAN,7116,323853464.27,45104.94,48720809.75
HUBBALLI,KARNATAKA,SOUTH,SEMI-URBAN,6787,290618492.76,42475.66,41138556.46
GWALIOR,MADHYA PRADESH,CENTRAL,SEMI-URBAN,6645,304865608.62,45502.33,43198718.65
KOZHIKODE,KERALA,SOUTH,URBAN,6952,294678680.98,42072.91,31732689.65
ASANSOL,WEST BENGAL,EAST,SEMI-URBAN,7132,310448880.95,43135.87,34443774.33
NOIDA,UTTAR PRADESH,NORTH,SEMI-URBAN,6631,287377194.96,43026.98,40604584.78
JORHAT,ASSAM,EAST,SEMI-URBAN,6638,266191332.58,39801.34,25527024.61
BHAVNAGAR,GUJARAT,WEST,SEMI-URBAN,7011,277768209.09,39282.73,45493981.81
AHMEDABAD,GUJARAT,WEST,URBAN,6488,294741429.06,45101.98,39629910.95
THRISSUR,KERALA,SOUTH,SEMI-URBAN,7188,331181885.91,45604.78,41707288.63
ALWAR,RAJASTHAN,NORTH,SEMI-URBAN,6895,295005275.97,42428.49,47146817.42
PRAYAGRAJ,UTTAR PRADESH,NORTH,SEMI-URBAN,6933,316217544.10,45154.58,40838187.47
MUMBAI,MAHARASHTRA,WEST,URBAN,6613,271472800.26,40700.57,30038547.99
REWA,MADHYA PRADESH,CENTRAL,SEMI-URBAN,7210,319724320.29,43972.54,35014578.41
SHIVAMOGGA,KARNATAKA,SOUTH,SEMI-URBAN,6741,284576095.27,41837.12,34627927.25
SAMBALPUR,ODISHA,EAST,SEMI-URBAN,7028,305192602.29,42978.82,43019099.63
PANAJI,GOA,SOUTH,SEMI-URBAN,7204,305832672.92,42073.56,49835832.25
GURGAON,HARYANA,NORTH,SEMI-URBAN,7025,311990093.55,43905.16,42620398.50
KARNAL,HARYANA,NORTH,SEMI-URBAN,6683,302102839.46,44789.15,38827010.92
GAYA,BIHAR,EAST,SEMI-URBAN,7566,307454330.83,40364.23,52448912.14
SILCHAR,ASSAM,EAST,SEMI-URBAN,6669,279335750.77,41617.36,39194104.14
SURAT,GUJARAT,WEST,URBAN,7068,313192920.99,43895.29,46361205.32
JABALPUR,MADHYA PRADESH,CENTRAL,SEMI-URBAN,6820,311966337.60,45383.52,36187025.29
AJMER,RAJASTHAN,NORTH,SEMI-URBAN,7402,330136193.02,44242.32,42061071.24
GANDHINAGAR,GUJARAT,WEST,SEMI-URBAN,7014,300261486.49,42427.79,39504994.91
TIRUCHIRAPPALLI,TAMIL NADU,SOUTH,SEMI-URBAN,6726,294042740.91,43241.58,38746991.15
MUZAFFARPUR,BIHAR,EAST,SEMI-URBAN,7305,321424489.16,43577.07,40995663.96
VASCO DA GAMA,GOA,SOUTH,SEMI-URBAN,7117,312584580.10,43571.87,40692952.54
CHENNAI,TAMIL NADU,SOUTH,URBAN,6323,261884113.91,41066.98,31415841.34
KOTA,RAJASTHAN,NORTH,SEMI-URBAN,6639,290390745.39,43316.04,41609840.93
ROHINI,DELHI,NORTH,SEMI-URBAN,7014,309738701.96,43754.58,37849211.96
UJJAIN,MADHYA PRADESH,CENTRAL,SEMI-URBAN,6918,335359859.78,48038.94,46088652.56
LUDHIANA,PUNJAB,NORTH,SEMI-URBAN,7024,311429880.84,43851.01,38212714.75
KOLKATA,WEST BENGAL,EAST,URBAN,7263,349580610.46,47672.25,37685390.62
SOLAPUR,MAHARASHTRA,WEST,SEMI-URBAN,6873,289685609.71,41892.35,33939694.98
KHAMMAM,TELANGANA,SOUTH,SEMI-URBAN,7188,332597345.98,45843.88,47250158.47
VARANASI,UTTAR PRADESH,NORTH,URBAN,7160,290751243.22,40259.10,38978919.37
ROHTAK,HARYANA,NORTH,SEMI-URBAN,6562,296867665.40,44952.71,40189415.62
HISAR,HARYANA,NORTH,SEMI-URBAN,6750,282668951.17,41507.92,39958541.06
PANIPAT,HARYANA,NORTH,SEMI-URBAN,6772,294702310.82,43192.48,45548123.45
VADODARA,GUJARAT,WEST,URBAN,7017,316553626.45,44729.92,48084905.07
JALANDHAR,PUNJAB,NORTH,SEMI-URBAN,6982,295833745.87,41950.33,32440072.91
PATNA,BIHAR,EAST,URBAN,6983,286773228.30,40775.38,38202370.20
BIKANER,RAJASTHAN,NORTH,SEMI-URBAN,6744,294332199.74,43271.42,32320729.89
AMRITSAR,PUNJAB,NORTH,SEMI-URBAN,7029,283708408.52,40043.53,40172364.30
GUWAHATI,ASSAM,EAST,URBAN,7195,291105320.60,40119.26,42896290.15
BHOPAL,MADHYA PRADESH,CENTRAL,URBAN,7367,309570776.15,41642.56,38814365.26
UDAIPUR,RAJASTHAN,NORTH,SEMI-URBAN,6410,270820271.05,41896.70,37816277.51
NASHIK,MAHARASHTRA,WEST,SEMI-URBAN,6842,309876676.75,44961.79,41652128.81
JODHPUR,RAJASTHAN,NORTH,URBAN,6579,287202821.13,43312.14,33184894.77
KOCHI,KERALA,SOUTH,URBAN,7037,316909720.25,44710.74,50526311.94
PALAKKAD,KERALA,SOUTH,SEMI-URBAN,7312,307346109.94,41628.89,43205617.93
BHUBANESWAR,ODISHA,EAST,URBAN,7267,315878925.54,43117.52,33790238.91
BALASORE,ODISHA,EAST,SEMI-URBAN,7034,287828690.45,40550.67,36310863.55
AGRA,UTTAR PRADESH,NORTH,URBAN,6757,291953433.07,42839.83,40265816.98
THIRUVANANTHAPURAM,KERALA,SOUTH,URBAN,7172,311431793.96,43039.22,41790944.19
