STATE,CITY,IMPRESSIONS,CLICKS,CONVERSIONS,REVENUE,SPEND,CVR,ROAS
TAMIL NADU,CHENNAI,49748420,2971713,159052,12920969.30,1684842.05,5.35,766.89
HARYANA,KARNAL,44567098,2841113,155711,13717889.33,1628111.99,5.48,842.56
ASSAM,DIBRUGARH,47186789,2879341,153876,12714067.38,1660125.25,5.34,765.85
PUNJAB,JALANDHAR,51063521,2969907,157643,12368521.36,1672961.39,5.31,739.32
GUJARAT,AHMEDABAD,56455503,3301477,172060,13553909.43,1882923.30,5.21,719.83
UTTAR PRADESH,PRAYAGRAJ,52886051,3098938,159824,12975007.68,1812921.28,5.16,715.70
ASSAM,NAGAON,45537888,2760524,149777,12709014.82,1625262.95,5.43,781.97
MAHARASHTRA,KOLHAPUR,53867307,3161470,161764,13496818.78,1845484.91,5.12,731.34
TELANGANA,HYDERABAD,51858649,3087073,163894,14173316.70,1790453.01,5.31,791.61
MAHARASHTRA,THANE,47629397,2803103,146190,11946050.68,1751812.03,5.22,681.93
BIHAR,BHAGALPUR,49070314,3074010,167465,15044999.32,1672566.38,5.45,899.52
GUJARAT,BHAVNAGAR,47823306,2845333,151642,12267773.89,1622563.48,5.33,756.07
UTTAR PRADESH,NOIDA,47492689,2855438,149524,12905081.18,1647368.40,5.24,783.38
MAHARASHTRA,NASHIK,50460730,2964903,153244,12811894.08,1835664.90,5.17,697.94
HARYANA,ROHTAK,50418537,3055407,159489,12966436.32,1766076.39,5.22,734.19
KERALA,THRISSUR,53534956,3240310,169574,14009039.85,1742637.83,5.23,803.90
KERALA,KOCHI,50651689,3038690,161329,13358639.41,1671641.84,5.31,799.13
RAJASTHAN,AJMER,45391131,2727332,146404,12499523.81,1543532.70,5.37,809.80
KARNATAKA,MANGALURU,52266424,3263421,171612,14247187.77,1684878.85,5.26,845.59
BIHAR,PURNIA,43810143,2684244,138714,11690436.08,1526477.66,5.17,765.84
MADHYA PRADESH,INDORE,48593826,2859521,146647,11846572.90,1749387.97,5.13,677.18
GUJARAT,VADODARA,47172670,2915963,156209,13361181.92,1573965.63,5.36,848.89
KERALA,KOZHIKODE,49568159,2992835,157356,13298683.86,1653528.85,5.26,804.26
ODISHA,BHUBANESWAR,51980942,3123684,166499,13430741.72,1715369.11,5.33,782.97
MADHYA PRADESH,SAGAR,47508770,2887314,159567,13249968.22,1628830.70,5.53,813.47
MAHARASHTRA,PUNE,51663338,3108232,167269,13754048.04,1696544.90,5.38,810.71
UTTAR PRADESH,LUCKNOW,53029125,3273612,172093,14076785.97,1866689.60,5.26,754.10
BIHAR,ARRAH,47822684,2920710,159564,14103321.96,1568377.38,5.46,899.23
PUNJAB,BATHINDA,47983485,2824728,150887,12802794.15,1651144.58,5.34,775.39
RAJASTHAN,KOTA,46741514,2777088,151201,13293851.78,1461736.16,5.44,909.46
PUNJAB,HOSHIARPUR,51748015,3073369,165995,13937836.75,1874930.90,5.40,743.38
WEST BENGAL,KOLKATA,50832125,3001971,161736,13913787.03,1884696.38,5.39,738.25
DELHI,SAKET,49074791,2888111,156201,13557223.87,1727177.81,5.41,784.94
ODISHA,BALASORE,52234639,3185695,171067,14926409.59,1815162.30,5.37,822.32
RAJASTHAN,JAIPUR,47959913,2891738,156347,13351615.42,1688518.01,5.41,790.73
MADHYA PRADESH,GWALIOR,50649544,2939425,147736,11769049.68,1559201.80,5.03,754.81
UTTAR PRADESH,GHAZIABAD,46003900,2788869,148492,12216811.86,1673861.68,5.32,729.86
GUJARAT,JUNAGADH,45625786,2920204,161707,13932555.97,1569422.28,5.54,887.75
PUNJAB,PATIALA,51134844,3020098,155004,12618170.09,1726143.35,5.13,731.00
KERALA,PALAKKAD,50140144,3097967,170995,14762567.40,1723509.93,5.52,856.54
UTTAR PRADESH,AGRA,55954194,3318117,177108,14112110.04,1997849.71,5.34,706.36
PUNJAB,LUDHIANA,49105236,2965499,161354,13258165.51,1749657.42,5.44,757.76
KARNATAKA,BELAGAVI,53306232,3202463,178859,15411991.01,1708253.30,5.59,902.21
WEST BENGAL,ASANSOL,51457671,3061018,160493,13839173.42,1782741.55,5.24,776.29
MAHARASHTRA,MUMBAI,51211416,3059818,164753,13931107.27,1719394.63,5.38,810.23
WEST BENGAL,HOWRAH,51918147,3064713,163514,13769089.37,1896772.64,5.34,725.92
PUNJAB,AMRITSAR,49614957,2996578,158355,12706556.87,1728239.52,5.28,735.23
GOA,PANAJI,48694663,2887962,150295,12717219.37,1692181.20,5.20,751.53
ODISHA,CUTTACK,51198997,3109301,162144,13637313.34,1817512.68,5.21,750.33
GUJARAT,SURAT,52038708,3162033,172308,13807483.36,1834662.66,5.45,752.59
DELHI,DWARKA,50332552,3107956,169927,14219552.54,1709009.40,5.47,832.03
MAHARASHTRA,NAGPUR,43358973,2711835,145506,12191123.07,1616201.37,5.37,754.31
RAJASTHAN,BIKANER,52351992,3080469,162967,13398125.64,1767703.32,5.29,757.94
UTTAR PRADESH,MEERUT,47943932,2944884,162644,14089634.70,1710050.70,5.52,823.93
TAMIL NADU,VELLORE,48176811,2859502,148972,12036436.12,1721679.55,5.21,699.11
KARNATAKA,BENGALURU,47947971,2882856,150918,12810900.35,1654349.59,5.24,774.38
MADHYA PRADESH,REWA,47464637,3028878,164591,13955795.36,1703795.37,5.43,819.10
HARYANA,FARIDABAD,46372709,2713045,144736,12136332.23,1708868.05,5.33,710.20
PUNJAB,MOHALI,51643143,3004966,159841,12867193.07,1753325.43,5.32,733.87
ODISHA,SAMBALPUR,47470992,2816498,157421,13774491.77,1604235.35,5.59,858.63
RAJASTHAN,ALWAR,52899594,3161523,163508,13724359.99,1759908.65,5.17,779.83
TAMIL NADU,COIMBATORE,50765427,2950352,155968,13183209.67,1716726.83,5.29,767.93
GOA,MARGAO,51002109,3113333,171227,14473587.19,1885574.51,5.50,767.60
KERALA,ALAPPUZHA,55743836,3419669,188120,15718304.33,1879448.28,5.50,836.33
ASSAM,GUWAHATI,48628235,2860673,149743,12524417.97,1613123.13,5.23,776.41
KERALA,THIRUVANANTHAPURAM,47490303,2841946,155476,12915584.40,1522402.40,5.47,848.37
ODISHA,BERHAMPUR,53027925,3171858,166850,14285181.52,1790761.83,5.26,797.72
GOA,VASCO DA GAMA,43875281,2716040,145492,11891964.05,1561475.85,5.36,761.58
GUJARAT,RAJKOT,42538136,2611990,140430,12122093.26,1495403.63,5.38,810.62
ASSAM,TINSUKIA,55394876,3254783,176616,15018236.07,1803105.15,5.43,832.91
TAMIL NADU,MADURAI,57981483,3409472,179779,14671030.06,1986379.88,5.27,738.58
MAHARASHTRA,AMRAVATI,48827511,2848681,154466,12611508.28,1783881.95,5.42,706.97
KARNATAKA,MYSURU,47976755,2929432,155081,13564685.36,1634161.89,5.29,830.07
TAMIL NADU,TIRUNELVELI,47772372,2816348,150603,12534967.34,1704897.62,5.35,735.23
MAHARASHTRA,SOLAPUR,50593728,2988266,160641,12848936.64,1768226.57,5.38,726.66
MADHYA PRADESH,JABALPUR,49953735,3019120,160353,13839567.88,1790136.91,5.31,773.10
HARYANA,HISAR,54318820,3209846,171246,14253869.86,1805811.97,5.34,789.33
HARYANA,GURGAON,47753024,2792262,149627,12512716.77,1671204.40,5.36,748.72
TELANGANA,KHAMMAM,48011620,2726256,146244,12180144.83,1609034.99,5.36,756.98
RAJASTHAN,JODHPUR,50903869,3019989,165476,13894227.93,1778670.26,5.48,781.16
ASSAM,TEZPUR,43201353,2631253,139552,11790981.51,1427586.93,5.30,825.94
UTTAR PRADESH,VARANASI,43526808,2691426,145647,11917387.53,1616616.82,5.41,737.18
ASSAM,JORHAT,52783461,3208485,181071,15468075.37,1809538.62,5.64,854.81
BIHAR,PATNA,47432746,2971153,155554,13543352.84,1697799.80,5.24,797.70
GOA,MAPUSA,55509246,3221336,164715,12910732.58,1956820.86,5.11,659.78
