CAMPAIGN_NAME,CAMPAIGN_TYPE,OBJECTIVE,ACTIVE_DAYS,IMPRESSIONS,CLICKS,CONVERSIONS,SPEND,REVENUE,CTR,CVR,ROAS
Empower End-To-End Architectures,AWARENESS,RETENTION,135,26418396,1503176,75408,1015871.22,6162864.37,5.69,5.02,606.66
Expedite End-To-End Initiatives,LOYALTY,BRAND AWARENESS,145,8339132,2154008,171993,309506.53,20127823.48,25.83,7.98,6503.20
Monetize One-To-One Relationships,DISCOUNT,BRAND AWARENESS,121,28386825,1559784,79516,988392.61,6249493.13,5.49,5.10,632.29
Mesh Strategic Bandwidth,AWARENESS,ENGAGEMENT,135,28175616,1421612,71521,1048290.68,5765737.45,5.05,5.03,550.01
Transition Dynamic Info-Mediaries,AWARENESS,RETENTION,132,27642038,1450550,71864,1039544.17,5604598.20,5.25,4.95,539.14
Revolutionize Magnetic Communities,LOYALTY,ACQUISITION,133,31420671,1750547,86264,1128700.50,6697789.64,5.57,4.93,593.41
Matrix Turn-Key Supply-Chains,AWARENESS,BRAND AWARENESS,146,30101751,1606064,80685,970661.90,6251596.38,5.34,5.02,644.05
Facilitate Open-Source Functionalities,DISCOUNT,ACQUISITION,147,31628321,1727889,88411,1129026.97,6695705.31,5.46,5.12,593.05
Transition Innovative Deliverables,AWARENESS,ENGAGEMENT,143,29796328,1660472,88773,1044099.44,6665855.28,5.57,5.35,638.43
Brand Intuitive Action-Items,LOYALTY,RETENTION,127,30043949,1651384,82766,1027715.09,6547457.65,5.50,5.01,637.09
Re-Contextualize Granular Networks,AWARENESS,BRAND AWARENESS,128,30482424,1612290,82093,1030051.28,6259554.28,5.29,5.09,607.69
Scale Vertical Partnerships,DISCOUNT,RETENTION,131,30951951,1695538,86137,1085377.61,6500055.03,5.48,5.08,598.87
Repurpose Front-End Vortals,AWARENESS,ENGAGEMENT,121,32074974,1823144,89577,1046407.38,6952216.76,5.68,4.91,664.39
Monetize User-Centric Users,AWARENESS,BRAND AWARENESS,117,7147477,1806276,146774,288218.57,17167747.59,25.27,8.13,5956.50
Incentivize Customized Solutions,DISCOUNT,ACQUISITION,109,31098056,1710125,84139,1050519.10,6340241.51,5.50,4.92,603.53
Morph Out-Of-The-Box Architectures,DISCOUNT,ENGAGEMENT,106,29880346,1603046,77774,953049.80,6107102.77,5.36,4.85,640.80
Repurpose Innovative Applications,DISCOUNT,ACQUISITION,105,28840099,1588847,78468,1024141.25,6398416.40,5.51,4.94,624.76
Facilitate B2b Metrics,PROMOTIONAL,ENGAGEMENT,91,26502973,1471387,72788,904872.41,5699303.80,5.55,4.95,629.85
Maximize Wireless Vortals,PROMOTIONAL,RETENTION,92,26332729,1408058,73000,948687.95,5408536.21,5.35,5.18,570.11
Enable Turn-Key Niches,AWARENESS,ACQUISITION,50,28962080,1576298,81801,1098389.70,6353228.54,5.44,5.19,578.41
Redefine Scalable Vortals,PROMOTIONAL,ENGAGEMENT,48,27299448,1525986,73278,945754.13,5679144.32,5.59,4.80,600.49
Monetize Cross-Platform Content,PROMOTIONAL,ACQUISITION,123,8397053,2134775,172458,348209.59,19646687.25,25.42,8.08,5642.20
Optimize Dynamic Initiatives,AWARENESS,BRAND AWARENESS,118,28788144,1562475,77117,988172.13,5876898.79,5.43,4.94,594.72
Synergize Extensible Experiences,LOYALTY,BRAND AWARENESS,67,32700684,1756805,89676,1059383.85,7012941.29,5.37,5.10,661.98
Expedite Dynamic Initiatives,AWARENESS,BRAND AWARENESS,35,34243804,1842488,90510,1213824.55,7130799.09,5.38,4.91,587.47
Cultivate One-To-One Niches,DISCOUNT,ACQUISITION,100,29248901,1654810,83078,1066143.70,6765905.39,5.66,5.02,634.61
Repurpose 24/7 Methodologies,DISCOUNT,BRAND AWARENESS,140,27817146,1521194,75675,994670.81,5885671.54,5.47,4.97,591.72
Brand Turn-Key Niches,DISCOUNT,ENGAGEMENT,148,29402294,1623549,82745,1050504.26,6358169.80,5.52,5.10,605.25
Innovate Integrated Partnerships,LOYALTY,BRAND AWARENESS,137,30084113,1668937,86870,995363.84,6651168.06,5.55,5.21,668.21
Brand Impactful E-Services,AWARENESS,BRAND AWARENESS,136,28632227,1551796,77572,975608.43,6079107.41,5.42,5.00,623.11
Visualize Back-End Schemas,AWARENESS,RETENTION,150,32764772,1757261,85729,1110382.04,6592391.94,5.36,4.88,593.70
Reinvent Innovative Relationships,AWARENESS,ENGAGEMENT,92,30910491,1695812,85527,1092775.67,6602301.10,5.49,5.04,604.18
Innovate Synergistic Partnerships,PROMOTIONAL,BRAND AWARENESS,91,29499200,1569994,74898,1033265.82,5623960.16,5.32,4.77,544.29
Syndicate Ubiquitous Experiences,LOYALTY,BRAND AWARENESS,68,27598370,1531670,76335,931865.89,5795008.24,5.55,4.98,621.87
Monetize Vertical Bandwidth,AWARENESS,RETENTION,145,28679459,1545171,73990,1017014.85,5758333.07,5.39,4.79,566.20
Leverage Value-Added Architectures,AWARENESS,RETENTION,131,30308861,1627207,83915,929671.68,6458968.08,5.37,5.16,694.76
E-Enable Vertical Content,DISCOUNT,RETENTION,135,28648333,1550518,74056,1032912.37,5657868.51,5.41,4.78,547.76
Monetize Innovative Communities,LOYALTY,RETENTION,134,30289165,1615335,80021,1042794.82,6268184.13,5.33,4.95,601.09
Mesh Next-Generation Markets,LOYALTY,BRAND AWARENESS,124,31961876,1742675,86827,1029953.08,6834694.50,5.45,4.98,663.59
Re-Contextualize Viral Schemas,AWARENESS,RETENTION,113,28835784,1568700,79569,1004511.80,6247499.23,5.44,5.07,621.94
Iterate Virtual Systems,PROMOTIONAL,ACQUISITION,122,8158359,2040539,169023,326654.36,19034410.50,25.01,8.28,5827.08
Productize Robust Systems,LOYALTY,ACQUISITION,109,27167438,1446277,70504,932248.58,5601377.30,5.32,4.87,600.85
Cultivate Impactful Communities,AWARENESS,ACQUISITION,95,29687418,1628532,83227,987121.14,6713110.32,5.49,5.11,680.07
Morph World-Class Solutions,PROMOTIONAL,BRAND AWARENESS,48,30451657,1653457,79969,1070636.14,5776455.25,5.43,4.84,539.53
Strategize Front-End Bandwidth,PROMOTIONAL,RETENTION,36,30735559,1716097,83095,1010682.44,6513013.50,5.58,4.84,644.42
Revolutionize Integrated Partnerships,AWARENESS,ENGAGEMENT,31,30566887,1719521,83185,1066483.67,5985672.94,5.63,4.84,561.25
Streamline Collaborative Functionalities,PROMOTIONAL,RETENTION,31,30285520,1671053,85372,1099282.24,6738650.53,5.52,5.11,613.00
Re-Contextualize Strategic Users,DISCOUNT,BRAND AWARENESS,23,32270262,1699488,85572,1016548.33,6710126.56,5.27,5.04,660.09
Visualize Rich Action-Items,PROMOTIONAL,ACQUISITION,20,28163836,1538442,74147,1057180.93,5799675.99,5.46,4.82,548.60
Transform Compelling Niches,PROMOTIONAL,ACQUISITION,117,30439648,1716928,86056,1003495.88,6362025.72,5.64,5.01,633.99
Empower Extensible Models,DISCOUNT,BRAND AWARENESS,103,30724482,1677019,83739,1018631.35,6448833.26,5.46,4.99,633.09
Maximize Distributed Markets,PROMOTIONAL,RETENTION,89,29884360,1670765,81461,1003325.61,6501945.96,5.59,4.88,648.04
Synthesize Seamless Partnerships,AWARENESS,RETENTION,77,26883429,1520681,75617,995574.28,5686512.38,5.66,4.97,571.18
Enhance Rich Networks,AWARENESS,BRAND AWARENESS,69,25775155,1373780,66979,923742.94,5092140.36,5.33,4.88,551.25
Syndicate Best-Of-Breed Architectures,LOYALTY,ENGAGEMENT,23,35555287,1940041,96247,1155595.21,7345057.79,5.46,4.96,635.61
Synergize Cross-Media Content,PROMOTIONAL,ENGAGEMENT,146,28295612,1556345,79167,1048841.75,6229246.49,5.50,5.09,593.92
Harness Holistic Portals,DISCOUNT,ACQUISITION,147,29531775,1667697,83025,953431.08,6408509.63,5.65,4.98,672.15
Integrate Seamless E-Services,PROMOTIONAL,ACQUISITION,139,32476582,1740052,88085,998185.10,6320775.63,5.36,5.06,633.23
Reinvent Clicks-And-Mortar Functionalities,AWARENESS,RETENTION,118,24148217,1318863,65560,861554.08,5073786.01,5.46,4.97,588.91
Deliver Turn-Key Portals,PROMOTIONAL,BRAND AWARENESS,151,31927697,1815782,93860,1092603.87,7076332.69,5.69,5.17,647.66
Synergize Clicks-And-Mortar Partnerships,LOYALTY,RETENTION,146,27084898,1484454,78157,986045.71,6723606.25,5.48,5.27,681.88
Envisioneer Proactive Architectures,DISCOUNT,BRAND AWARENESS,117,24160669,1376935,64589,890696.24,5022703.10,5.70,4.69,563.91
Repurpose Magnetic E-Services,DISCOUNT,BRAND AWARENESS,141,28593962,1553299,77431,974988.22,6010644.42,5.43,4.98,616.48
Whiteboard Distributed Deliverables,DISCOUNT,RETENTION,125,28291529,1551272,76469,820921.78,6280894.94,5.48,4.93,765.10
Orchestrate Next-Generation E-Tailers,LOYALTY,ENGAGEMENT,142,31301245,1709693,86511,1057258.41,6838982.46,5.46,5.06,646.86
Repurpose User-Centric Users,LOYALTY,BRAND AWARENESS,150,32919260,1754049,85050,1080114.65,6900293.88,5.33,4.85,638.85
Harness Ubiquitous Bandwidth,LOYALTY,RETENTION,124,26888331,1485497,75535,928752.09,6013007.28,5.52,5.08,647.43
Synthesize Out-Of-The-Box Technologies,LOYALTY,RETENTION,131,27714796,1519321,74913,1071242.50,5650537.51,5.48,4.93,527.48
Unleash Best-Of-Breed Web Services,LOYALTY,ACQUISITION,125,31490928,1762153,86145,1063870.05,6408476.26,5.60,4.89,602.37
Facilitate Open-Source Vortals,PROMOTIONAL,ENGAGEMENT,120,30639071,1634352,79734,1021100.07,6209485.53,5.33,4.88,608.12
Incentivize Cutting-Edge Experiences,LOYALTY,ACQUISITION,115,28360300,1573190,78337,1059521.20,5997181.95,5.55,4.98,566.03
Optimize Wireless Communities,PROMOTIONAL,ENGAGEMENT,104,31704926,1699311,86695,1065858.01,6753347.23,5.36,5.10,633.61
Generate B2c Networks,DISCOUNT,BRAND AWARENESS,90,26441032,1409956,69036,918706.21,5461284.69,5.33,4.90,594.45
Engineer Proactive Channels,DISCOUNT,RETENTION,62,25925611,1477504,72631,887630.11,5757273.22,5.70,4.92,648.61
Scale Sticky Communities,PROMOTIONAL,BRAND AWARENESS,63,27048444,1529896,77654,993970.56,6137290.81,5.66,5.08,617.45
Architect Plug-And-Play E-Commerce,DISCOUNT,ENGAGEMENT,40,36743926,2021967,97838,1203367.49,7426237.68,5.50,4.84,617.12
Morph Cutting-Edge Eyeballs,DISCOUNT,RETENTION,115,7849030,1934665,155186,288522.54,18293783.01,24.65,8.02,6340.50
Embrace Web-Enabled Bandwidth,AWARENESS,ENGAGEMENT,66,25560262,1375544,71813,887346.69,5453872.46,5.38,5.22,614.63
Disintermediate World-Class Experiences,PROMOTIONAL,RETENTION,49,31698219,1695070,84702,1047822.36,6736000.49,5.35,5.00,642.86
Expedite Bleeding-Edge Networks,DISCOUNT,ACQUISITION,48,27436274,1463767,75193,994486.54,5964513.08,5.34,5.14,599.76
Deploy Extensible E-Tailers,AWARENESS,ACQUISITION,24,9085222,2315315,181332,335885.25,19329296.37,25.48,7.83,5754.73
Grow Cross-Media Markets,PROMOTIONAL,RETENTION,17,27310973,1450574,73293,951329.99,5712714.36,5.31,5.05,600.50
Re-Contextualize Value-Added Channels,LOYALTY,BRAND AWARENESS,125,26316173,1457140,74094,1055928.01,5682708.43,5.54,5.08,538.17
Whiteboard Sticky Channels,AWARENESS,ACQUISITION,69,25045600,1365937,65964,879016.72,5222288.60,5.45,4.83,594.11
Morph Open-Source Functionalities,DISCOUNT,BRAND AWARENESS,53,25908492,1452777,75586,909346.90,5981140.80,5.61,5.20,657.74
Deliver Virtual Eyeballs,LOYALTY,BRAND AWARENESS,150,29092548,1581563,81759,1083775.88,6264500.21,5.44,5.17,578.03
E-Enable Extensible E-Commerce,LOYALTY,RETENTION,151,31856101,1714268,87982,1039822.27,7020187.62,5.38,5.13,675.13
Utilize Vertical Systems,LOYALTY,ACQUISITION,144,27369488,1523732,75182,950407.07,6155582.77,5.57,4.93,647.68
Empower Efficient Solutions,LOYALTY,ACQUISITION,142,8160347,1997212,163086,316868.10,18157294.09,24.47,8.17,5730.24
Seize Collaborative Content,PROMOTIONAL,ENGAGEMENT,140,32812709,1787049,88514,1060593.12,7066685.30,5.45,4.95,666.30
Deliver 24/365 Deliverables,PROMOTIONAL,ENGAGEMENT,117,29097642,1547820,76048,960694.88,5972236.14,5.32,4.91,621.66
Re-Contextualize Bricks-And-Clicks Niches,AWARENESS,ACQUISITION,138,31556636,1757546,89037,1007090.62,6847516.50,5.57,5.07,679.93
Cultivate Interactive Infrastructures,AWARENESS,RETENTION,132,31310769,1720674,82883,1022141.49,6321996.05,5.50,4.82,618.50
Grow Magnetic Vortals,DISCOUNT,ENGAGEMENT,121,26839394,1470525,72589,1080866.34,5625782.70,5.48,4.94,520.49
Visualize Web-Enabled Web Services,PROMOTIONAL,ACQUISITION,104,32224238,1783068,90663,1080630.02,7131599.23,5.53,5.08,659.95
Utilize Innovative E-Tailers,LOYALTY,RETENTION,84,27693039,1535688,79923,948509.16,5938649.59,5.55,5.20,626.10
Reinvent 24/365 Action-Items,PROMOTIONAL,ACQUISITION,44,28417832,1543842,76656,909456.65,5927221.77,5.43,4.97,651.73
Scale Distributed Info-Mediaries,PROMOTIONAL,ENGAGEMENT,14,31156061,1713777,86063,1122022.54,6614706.01,5.50,5.02,589.53
Brand Viral Niches,DISCOUNT,BRAND AWARENESS,102,35007131,1947929,97882,1096284.58,7680715.66,5.56,5.02,700.61
Cultivate Back-End E-Markets,LOYALTY,RETENTION,83,29979014,1573940,73405,936330.41,5410437.93,5.25,4.66,577.83
Orchestrate Cutting-Edge Technologies,DISCOUNT,ENGAGEMENT,81,28407189,1517914,73713,1018422.05,5814493.38,5.34,4.86,570.93
Exploit Holistic Interfaces,AWARENESS,ACQUISITION,43,26832334,1450434,68986,939271.51,5265103.92,5.41,4.76,560.55
Unleash Bricks-And-Clicks E-Tailers,LOYALTY,BRAND AWARENESS,146,30660340,1702952,80670,999848.11,6410439.76,5.55,4.74,641.14
Synergize Collaborative Deliverables,PROMOTIONAL,ENGAGEMENT,154,30971661,1752993,93189,1128097.09,7066499.23,5.66,5.32,626.41
Incentivize Cross-Platform Mindshare,AWARENESS,BRAND AWARENESS,149,30208914,1675849,82171,1053070.18,6354938.82,5.55,4.90,603.47
Architect Real-Time Mindshare,LOYALTY,ENGAGEMENT,148,31457938,1750094,90644,1053743.00,7127645.60,5.56,5.18,676.41
Engage Magnetic Technologies,AWARENESS,BRAND AWARENESS,139,31917865,1737529,89944,1098532.38,6805700.14,5.44,5.18,619.53
Morph Rich E-Business,PROMOTIONAL,RETENTION,120,28225624,1493080,73030,1032928.86,5600657.82,5.29,4.89,542.21
Monetize Robust Models,PROMOTIONAL,RETENTION,99,34484787,1881696,91878,1090522.92,7136190.12,5.46,4.88,654.38
Utilize Mission-Critical E-Commerce,LOYALTY,BRAND AWARENESS,129,28484669,1526482,75473,1019697.11,5597158.57,5.36,4.94,548.90
Architect Clicks-And-Mortar Schemas,AWARENESS,ACQUISITION,140,33471772,1842134,93143,1112795.10,7282175.91,5.50,5.06,654.40
Orchestrate Collaborative Models,PROMOTIONAL,ENGAGEMENT,131,30299598,1652931,82943,1006089.57,6225924.77,5.46,5.02,618.82
Leverage Turn-Key Experiences,AWARENESS,BRAND AWARENESS,124,29729746,1649099,80974,955254.60,6247788.11,5.55,4.91,654.04
Incubate Clicks-And-Mortar Functionalities,PROMOTIONAL,ACQUISITION,120,30747286,1735451,88310,1011548.92,6928632.14,5.64,5.09,684.95
Transition Scalable Platforms,AWARENESS,ACQUISITION,117,25410839,1391869,66351,913009.74,5013117.43,5.48,4.77,549.08
Matrix Front-End Web-Readiness,LOYALTY,RETENTION,99,30349241,1605876,78601,1006768.56,6544855.24,5.29,4.89,650.09
Enable 24/7 Applications,PROMOTIONAL,ENGAGEMENT,109,32055725,1798801,89320,1070099.73,6988322.36,5.61,4.97,653.05
Implement Strategic Markets,PROMOTIONAL,BRAND AWARENESS,100,25268360,1413241,66900,806796.94,5030783.08,5.59,4.73,623.55
Generate Web-Enabled Vortals,AWARENESS,ENGAGEMENT,79,31122147,1780234,83450,1091527.83,6339654.77,5.72,4.69,580.81
Drive 24/365 Convergence,PROMOTIONAL,BRAND AWARENESS,48,34400282,1836241,91732,1123855.09,7091505.88,5.34,5.00,631.00
Generate Dot-Com Eyeballs,DISCOUNT,ENGAGEMENT,105,26953659,1535846,74516,991481.39,5865204.80,5.70,4.85,591.56
Generate Robust Supply-Chains,LOYALTY,BRAND AWARENESS,97,29966096,1665567,80980,1032749.87,6445364.04,5.56,4.86,624.10
Repurpose Ubiquitous Web Services,PROMOTIONAL,ACQUISITION,94,28482191,1578849,75734,1022309.41,5787066.52,5.54,4.80,566.08
Transform World-Class Functionalities,AWARENESS,ENGAGEMENT,75,33666486,1798878,86624,1095071.00,6448639.56,5.34,4.82,588.88
Aggregate Clicks-And-Mortar Metrics,AWARENESS,ACQUISITION,59,28986929,1566148,78756,992646.49,6097350.03,5.40,5.03,614.25
Reinvent Leading-Edge Supply-Chains,AWARENESS,ENGAGEMENT,9,33111384,1799540,88893,1129756.19,7130664.59,5.43,4.94,631.17
Visualize User-Centric Content,AWARENESS,BRAND AWARENESS,153,31901721,1777239,88819,1009937.44,7072144.41,5.57,5.00,700.26
Brand Cutting-Edge Deliverables,PROMOTIONAL,RETENTION,157,30042938,1649503,83333,1157556.65,6553956.60,5.49,5.05,566.19
Integrate Dynamic Partnerships,AWARENESS,BRAND AWARENESS,139,8566601,2140160,174980,305317.09,19714965.16,24.98,8.18,6457.21
E-Enable Plug-And-Play Web Services,DISCOUNT,BRAND AWARENESS,139,27715703,1527484,74704,959518.52,5632863.63,5.51,4.89,587.05
Empower Cross-Platform Paradigms,AWARENESS,BRAND AWARENESS,129,27593249,1548818,76425,975246.04,5930445.89,5.61,4.93,608.10
Synthesize Robust Convergence,AWARENESS,BRAND AWARENESS,134,28542827,1564708,78428,992986.44,5934152.68,5.48,5.01,597.61
Extend Vertical Metrics,PROMOTIONAL,BRAND AWARENESS,124,28530225,1551709,76466,968907.41,5617449.36,5.44,4.93,579.77
Re-Contextualize Innovative Networks,PROMOTIONAL,BRAND AWARENESS,107,29539955,1601459,80585,1054202.50,6066578.41,5.42,5.03,575.47
Syndicate Rich Convergence,AWARENESS,RETENTION,105,31059989,1747110,85644,1072162.68,6807420.01,5.62,4.90,634.92
Leverage Leading-Edge Eyeballs,DISCOUNT,BRAND AWARENESS,135,30447355,1664631,83313,1052335.30,6396437.13,5.47,5.00,607.83
Harness Value-Added Vortals,AWARENESS,RETENTION,134,26621169,1466395,71623,905187.85,5637240.21,5.51,4.88,622.77
Facilitate Dynamic Supply-Chains,PROMOTIONAL,BRAND AWARENESS,127,28653527,1560824,78855,1019595.62,6170113.36,5.45,5.05,605.15
Evolve Proactive E-Tailers,LOYALTY,RETENTION,100,26886001,1452789,73850,920078.00,5594574.97,5.40,5.08,608.05
Engineer Viral Infrastructures,DISCOUNT,ACQUISITION,11,22481783,1210352,61334,892049.63,4661228.84,5.38,5.07,522.53
Morph Magnetic Applications,DISCOUNT,BRAND AWARENESS,123,29025329,1590376,81656,944674.69,6184965.90,5.48,5.13,654.72
Strategize Back-End Architectures,LOYALTY,ACQUISITION,111,28591116,1579455,74216,999852.71,5918912.98,5.52,4.70,591.98
Repurpose Next-Generation Schemas,PROMOTIONAL,BRAND AWARENESS,130,32763571,1723597,84634,1029545.43,6706884.59,5.26,4.91,651.44
Enable 24/365 Content,DISCOUNT,ENGAGEMENT,53,29170671,1633308,81731,995564.61,6225620.10,5.60,5.00,625.34
Maximize Virtual Schemas,AWARENESS,BRAND AWARENESS,37,34554914,1884026,95294,1159959.28,7466789.68,5.45,5.06,643.71
Enhance Best-Of-Breed Bandwidth,LOYALTY,BRAND AWARENESS,5,30261983,1634823,82140,1081460.24,6520596.51,5.40,5.02,602.94
Incentivize Mission-Critical Applications,PROMOTIONAL,RETENTION,18,30840273,1669688,82990,1082965.23,6499065.50,5.41,4.97,600.12
Monetize Intuitive Action-Items,DISCOUNT,BRAND AWARENESS,13,28784190,1587081,76575,1009603.95,6202425.47,5.51,4.82,614.34
Strategize Compelling Portals,AWARENESS,BRAND AWARENESS,2,30908693,1717736,85284,1013778.84,6830883.07,5.56,4.96,673.80
Synergize Distributed Interfaces,DISCOUNT,ENGAGEMENT,147,29474192,1542768,76244,1028243.89,5896350.89,5.23,4.94,573.44
Innovate Cross-Platform Systems,PROMOTIONAL,RETENTION,134,26541336,1429163,73230,1009155.04,5571736.78,5.38,5.12,552.12
Target Vertical Relationships,AWARENESS,RETENTION,141,29156085,1672413,84322,1056507.06,6735298.83,5.74,5.04,637.51
Generate Cross-Media Relationships,PROMOTIONAL,RETENTION,131,28322706,1546009,80784,1053006.42,6237446.14,5.46,5.23,592.35
Envisioneer World-Class Mindshare,AWARENESS,ENGAGEMENT,139,30425017,1722152,84920,1017100.97,6779901.64,5.66,4.93,666.59
Scale Cutting-Edge Markets,AWARENESS,RETENTION,147,34176880,1936749,95665,1193276.66,7565123.81,5.67,4.94,633.98
Expedite Compelling Applications,PROMOTIONAL,BRAND AWARENESS,133,30560590,1629627,83397,1028630.41,6226047.86,5.33,5.12,605.28
Extend User-Centric Solutions,PROMOTIONAL,ACQUISITION,71,27932485,1477450,76600,954268.09,6168465.54,5.29,5.18,646.41
Synergize Web-Enabled Action-Items,PROMOTIONAL,ACQUISITION,139,28618028,1555717,76754,994102.90,5930706.90,5.44,4.93,596.59
Grow Sticky Methodologies,PROMOTIONAL,BRAND AWARENESS,139,26845960,1453208,74990,995740.64,5878924.14,5.41,5.16,590.41
Transition Integrated Architectures,DISCOUNT,RETENTION,132,30787649,1705081,90072,1068172.77,6846033.18,5.54,5.28,640.91
Incubate Proactive E-Tailers,DISCOUNT,RETENTION,124,32287258,1853383,91937,1045501.37,7750096.23,5.74,4.96,741.28
Cultivate Back-End Functionalities,AWARENESS,BRAND AWARENESS,124,32501424,1811163,94245,970086.48,7388223.64,5.57,5.20,761.60
Optimize Dot-Com Metrics,LOYALTY,BRAND AWARENESS,117,30228304,1672194,79135,1116546.87,5975726.90,5.53,4.73,535.20
Enhance Back-End Info-Mediaries,AWARENESS,ENGAGEMENT,118,28635274,1570790,79070,1031883.76,6407245.87,5.49,5.03,620.93
Morph Dynamic Markets,AWARENESS,ENGAGEMENT,70,27527213,1454263,71873,1012102.14,5821209.70,5.28,4.94,575.16
Engineer End-To-End E-Tailers,DISCOUNT,ENGAGEMENT,77,8139522,1966626,151512,319756.36,17054493.11,24.16,7.70,5333.59
Incubate Back-End E-Business,AWARENESS,ENGAGEMENT,17,30616313,1756620,90558,1126550.59,6979287.74,5.74,5.16,619.53
Generate Dynamic Eyeballs,PROMOTIONAL,BRAND AWARENESS,120,7532057,1898309,148189,301288.24,16750524.58,25.20,7.81,5559.63
Scale Viral Users,AWARENESS,ACQUISITION,136,30759456,1697840,83609,1012500.03,6654816.17,5.52,4.92,657.27
Enhance Integrated Relationships,AWARENESS,ACQUISITION,118,32293714,1759167,90607,1128727.85,7039765.76,5.45,5.15,623.69
Engineer Robust E-Tailers,LOYALTY,RETENTION,97,9290363,2356049,188354,350496.08,22201172.33,25.36,7.99,6334.21
Enable Next-Generation Schemas,DISCOUNT,RETENTION,93,9303469,2379521,190600,353980.83,21171639.02,25.58,8.01,5981.01
Engage One-To-One Platforms,PROMOTIONAL,ACQUISITION,54,28310167,1459682,74339,954050.01,6010979.81,5.16,5.09,630.05
Enhance User-Centric Users,DISCOUNT,BRAND AWARENESS,44,32474345,1776485,87060,1137288.40,6626103.10,5.47,4.90,582.62
