CAMPAIGN_NAME,CAMPAIGN_TYPE,OBJECTIVE,ACTIVE_DAYS,IMPRESSIONS,CLICKS,CONVERSIONS,SPEND,REVENUE,CTR,CVR,ROAS
Mesh Rich Methodologies,PROMOTIONAL,BRAND AWARENESS,47,3224523,64034,1794,21715.39,31217.97,1.99,2.8,143.76
Matrix B2b Eyeballs,LOYALTY,RETENTION,35,1234896,38956,1663,8710.47,261192.9,3.15,4.27,2998.61
Target B2b Initiatives,LOYALTY,ACQUISITION,19,1052270,38695,1802,9866.31,267587.07,3.68,4.66,2712.13
Iterate Dot-Com Users,AWARENESS,ACQUISITION,30,684674,5036,111,2908.68,10080.17,0.74,2.21,346.55
Revolutionize Dot-Com Action-Items,AWARENESS,ACQUISITION,16,774259,11082,191,2962.65,13919.85,1.43,1.73,469.84
Strategize Interactive Markets,LOYALTY,BRAND AWARENESS,150,5991780,193268,9083,39131.36,828114.06,3.23,4.7,2116.24
Target Granular Architectures,DISCOUNT,BRAND AWARENESS,132,6343114,313963,16025,42583.04,160250.0,4.95,5.1,376.32
Empower End-To-End Architectures,AWARENESS,RETENTION,135,6104718,49515,552,35344.44,38273.88,0.81,1.12,108.29
Expedite End-To-End Initiatives,LOYALTY,BRAND AWARENESS,145,5952246,208085,12150,50265.98,468159.48,3.5,5.84,931.36
Monetize One-To-One Relationships,DISCOUNT,BRAND AWARENESS,121,6020226,285151,22074,39490.3,921545.98,4.74,7.74,2333.6
Mesh Strategic Bandwidth,AWARENESS,ENGAGEMENT,135,6974099,72436,1301,32582.25,92518.87,1.04,1.8,283.95
Transition Dynamic Info-Mediaries,AWARENESS,RETENTION,132,6568700,57353,887,27409.63,72665.52,0.87,1.55,265.11
Revolutionize Magnetic Communities,LOYALTY,ACQUISITION,133,7874456,208024,10271,65123.07,1480595.56,2.64,4.94,2273.53
Matrix Turn-Key Supply-Chains,AWARENESS,BRAND AWARENESS,146,7289258,47159,978,33863.47,43203.2,0.65,2.08,127.58
Facilitate Open-Source Functionalities,DISCOUNT,ACQUISITION,147,5793485,287150,18867,29726.78,1105707.98,4.96,6.57,3719.57
Transition Innovative Deliverables,AWARENESS,ENGAGEMENT,143,4779748,18357,425,19117.99,35676.61,0.38,2.32,186.61
Brand Intuitive Action-Items,LOYALTY,RETENTION,127,3208338,104696,6528,20108.03,688969.85,3.26,6.24,3426.34
Re-Contextualize Granular Networks,AWARENESS,BRAND AWARENESS,128,6663610,61809,1125,25655.89,37246.13,0.93,1.82,145.18
Scale Vertical Partnerships,DISCOUNT,RETENTION,131,9514222,532963,36649,44958.6,3151668.15,5.6,6.88,7010.16
Repurpose Front-End Vortals,AWARENESS,ENGAGEMENT,121,8138402,87464,1013,31277.1,59574.47,1.07,1.16,190.47
Monetize User-Centric Users,AWARENESS,BRAND AWARENESS,117,8169701,34088,625,45508.18,35060.67,0.42,1.83,77.04
Incentivize Customized Solutions,DISCOUNT,ACQUISITION,109,3346128,144527,10501,16741.93,997072.24,4.32,7.27,5955.54
Morph Out-Of-The-Box Architectures,DISCOUNT,ENGAGEMENT,106,5053470,286515,14744,26254.95,1243836.71,5.67,5.15,4737.53
Repurpose Innovative Applications,DISCOUNT,ACQUISITION,105,3619011,190096,11574,18340.54,1257629.78,5.25,6.09,6857.1
Facilitate B2b Metrics,PROMOTIONAL,ENGAGEMENT,91,5412464,138624,3774,35383.06,271144.38,2.56,2.72,766.31
Maximize Wireless Vortals,PROMOTIONAL,RETENTION,92,5516059,147033,3191,32386.39,359540.8,2.67,2.17,1110.16
Enable Turn-Key Niches,AWARENESS,ACQUISITION,50,2703454,18097,282,12183.48,22201.93,0.67,1.56,182.23
Redefine Scalable Vortals,PROMOTIONAL,ENGAGEMENT,48,3385500,62798,2339,18582.41,254770.64,1.85,3.73,1371.03
Monetize Cross-Platform Content,PROMOTIONAL,ACQUISITION,123,4783728,105393,4578,24543.33,320333.63,2.2,4.34,1305.18
Optimize Dynamic Initiatives,AWARENESS,BRAND AWARENESS,118,6563384,42007,1024,25699.42,17998.71,0.64,2.44,70.04
Synergize Extensible Experiences,LOYALTY,BRAND AWARENESS,67,2409920,82841,2919,19387.34,211534.07,3.44,3.52,1091.09
Expedite Dynamic Initiatives,AWARENESS,BRAND AWARENESS,35,942027,6400,102,5285.65,3757.68,0.68,1.6,71.09
Cultivate One-To-One Niches,DISCOUNT,ACQUISITION,100,4741283,209367,16488,29633.38,873588.13,4.42,7.88,2947.99
Repurpose 24/7 Methodologies,DISCOUNT,BRAND AWARENESS,140,7975167,438778,30827,50863.6,1726917.7,5.5,7.03,3395.19
Brand Turn-Key Niches,DISCOUNT,ENGAGEMENT,148,4370694,190987,13384,23299.68,521796.76,4.37,7.01,2239.5
Innovate Integrated Partnerships,LOYALTY,BRAND AWARENESS,137,4541477,122129,4397,35021.21,236774.47,2.69,3.6,676.09
Brand Impactful E-Services,AWARENESS,BRAND AWARENESS,136,4308035,40770,574,13720.05,7385.97,0.95,1.41,53.83
Visualize Back-End Schemas,AWARENESS,RETENTION,150,5304606,46140,678,25233.4,53699.37,0.87,1.47,212.81
Reinvent Innovative Relationships,AWARENESS,ENGAGEMENT,92,5915171,45614,681,13561.4,31284.39,0.77,1.49,230.69
Innovate Synergistic Partnerships,PROMOTIONAL,BRAND AWARENESS,91,5289846,108805,3777,34261.27,172337.09,2.06,3.47,503.01
Syndicate Ubiquitous Experiences,LOYALTY,BRAND AWARENESS,68,3704514,109016,5494,26436.59,476297.38,2.94,5.04,1801.66
Monetize Vertical Bandwidth,AWARENESS,RETENTION,145,9695744,117139,1885,43502.22,171557.17,1.21,1.61,394.36
Leverage Value-Added Architectures,AWARENESS,RETENTION,131,5862383,29924,553,24976.92,33968.65,0.51,1.85,136.0
E-Enable Vertical Content,DISCOUNT,RETENTION,135,6905111,316234,17138,36212.0,1970231.63,4.58,5.42,5440.83
Monetize Innovative Communities,LOYALTY,RETENTION,134,8127083,304885,15812,66121.89,2126841.86,3.75,5.19,3216.55
Mesh Next-Generation Markets,LOYALTY,BRAND AWARENESS,124,6049668,176856,10700,41806.63,1078907.17,2.92,6.05,2580.71
Re-Contextualize Viral Schemas,AWARENESS,RETENTION,113,2516847,16701,296,12756.63,28197.61,0.66,1.78,221.04
Iterate Virtual Systems,PROMOTIONAL,ACQUISITION,122,5185988,125567,4955,30922.06,556459.09,2.42,3.95,1799.55
Productize Robust Systems,LOYALTY,ACQUISITION,109,3240008,99946,5752,24725.61,769271.79,3.08,5.76,3111.23
Cultivate Impactful Communities,AWARENESS,ACQUISITION,95,3611926,28817,394,12172.85,20141.21,0.8,1.37,165.46
Morph World-Class Solutions,PROMOTIONAL,BRAND AWARENESS,48,2952973,55075,2116,14017.35,79107.81,1.87,3.84,564.36
Strategize Front-End Bandwidth,PROMOTIONAL,RETENTION,36,2058870,43610,1569,7796.46,265700.06,2.12,3.6,3407.96
Revolutionize Integrated Partnerships,AWARENESS,ENGAGEMENT,31,1592970,6583,111,5946.6,6124.83,0.41,1.69,103.0
Streamline Collaborative Functionalities,PROMOTIONAL,RETENTION,31,1103753,24627,905,6187.63,111304.57,2.23,3.68,1798.82
Re-Contextualize Strategic Users,DISCOUNT,BRAND AWARENESS,23,1094924,47569,3187,5983.83,121050.94,4.34,6.7,2022.97
Visualize Rich Action-Items,PROMOTIONAL,ACQUISITION,20,964672,18861,789,6148.48,94396.24,1.96,4.18,1535.28
Transform Compelling Niches,PROMOTIONAL,ACQUISITION,117,7448222,158420,6400,45698.22,566372.24,2.13,4.04,1239.37
Empower Extensible Models,DISCOUNT,BRAND AWARENESS,103,6540439,345253,23823,32143.93,1194752.32,5.28,6.9,3716.88
Maximize Distributed Markets,PROMOTIONAL,RETENTION,89,4905894,97779,3472,31726.92,257223.89,1.99,3.55,810.74
Synthesize Seamless Partnerships,AWARENESS,RETENTION,77,5262726,51769,533,29352.09,50760.96,0.98,1.03,172.94
Enhance Rich Networks,AWARENESS,BRAND AWARENESS,69,2722194,14601,262,10685.06,10949.49,0.54,1.8,102.47
Syndicate Best-Of-Breed Architectures,LOYALTY,ENGAGEMENT,23,1523011,39534,2046,14855.61,285906.71,2.6,5.18,1924.57
Synergize Cross-Media Content,PROMOTIONAL,ENGAGEMENT,146,7661673,140664,5436,40809.49,253179.11,1.84,3.87,620.39
Harness Holistic Portals,DISCOUNT,ACQUISITION,147,9329653,460870,33835,42432.42,2548094.7,4.94,7.34,6005.07
Integrate Seamless E-Services,PROMOTIONAL,ACQUISITION,139,5881490,98656,3719,37467.92,285954.76,1.68,3.77,763.2
Reinvent Clicks-And-Mortar Functionalities,AWARENESS,RETENTION,118,7065538,49028,631,28601.17,52755.97,0.69,1.29,184.45
Deliver Turn-Key Portals,PROMOTIONAL,BRAND AWARENESS,151,7241526,140051,5554,47844.0,69718.18,1.93,3.97,145.72
Synergize Clicks-And-Mortar Partnerships,LOYALTY,RETENTION,146,4924226,254488,16861,29312.9,3424415.35,5.17,6.63,11682.28
Envisioneer Proactive Architectures,DISCOUNT,BRAND AWARENESS,117,4630854,206515,13299,26584.47,991713.63,4.46,6.44,3730.42
Repurpose Magnetic E-Services,DISCOUNT,BRAND AWARENESS,141,9388638,549577,40994,55600.19,1592350.41,5.85,7.46,2863.93
Whiteboard Distributed Deliverables,DISCOUNT,RETENTION,125,4876197,310660,19687,19826.87,2337701.76,6.37,6.34,11790.57
Orchestrate Next-Generation E-Tailers,LOYALTY,ENGAGEMENT,142,5594004,205171,11301,33492.99,953345.82,3.67,5.51,2846.4
Repurpose User-Centric Users,LOYALTY,BRAND AWARENESS,150,8174359,225091,12982,64053.28,807677.97,2.75,5.77,1260.95
Harness Ubiquitous Bandwidth,LOYALTY,RETENTION,124,7633255,278025,12528,50903.54,2064021.44,3.64,4.51,4054.77
Synthesize Out-Of-The-Box Technologies,LOYALTY,RETENTION,131,5877970,197636,9432,50091.47,1262484.36,3.36,4.77,2520.36
Unleash Best-Of-Breed Web Services,LOYALTY,ACQUISITION,125,4965380,177033,9865,54181.62,904143.19,3.57,5.57,1668.73
Facilitate Open-Source Vortals,PROMOTIONAL,ENGAGEMENT,120,7367232,133448,4693,51732.4,336875.67,1.81,3.52,651.19
Incentivize Cutting-Edge Experiences,LOYALTY,ACQUISITION,115,7440946,270400,13588,57405.83,436746.81,3.63,5.03,760.81
Optimize Wireless Communities,PROMOTIONAL,ENGAGEMENT,104,3849164,89139,3603,26133.21,284174.19,2.32,4.04,1087.41
Generate B2c Networks,DISCOUNT,BRAND AWARENESS,90,3903677,248492,10883,22518.5,151890.43,6.37,4.38,674.51
Engineer Proactive Channels,DISCOUNT,RETENTION,62,3217809,174333,10682,13895.07,740764.72,5.42,6.13,5331.13
Scale Sticky Communities,PROMOTIONAL,BRAND AWARENESS,63,2700094,34691,1555,16013.91,127468.96,1.28,4.48,795.99
Architect Plug-And-Play E-Commerce,DISCOUNT,ENGAGEMENT,40,1647270,87576,6075,9245.04,274493.07,5.32,6.94,2969.08
Morph Cutting-Edge Eyeballs,DISCOUNT,RETENTION,115,7905136,368087,26425,47085.81,2391115.28,4.66,7.18,5078.21
Embrace Web-Enabled Bandwidth,AWARENESS,ENGAGEMENT,66,2580565,8406,152,9342.6,6758.91,0.33,1.82,72.35
Disintermediate World-Class Experiences,PROMOTIONAL,RETENTION,49,2822172,73039,2628,17363.17,332230.27,2.59,3.6,1913.42
Expedite Bleeding-Edge Networks,DISCOUNT,ACQUISITION,48,2637215,152920,9090,16488.83,660446.82,5.8,5.94,4005.42
Deploy Extensible E-Tailers,AWARENESS,ACQUISITION,24,1499449,9743,130,7729.36,11985.34,0.65,1.34,155.06
Grow Cross-Media Markets,PROMOTIONAL,RETENTION,17,1015486,18776,731,7870.81,89851.97,1.85,3.9,1141.58
Re-Contextualize Value-Added Channels,LOYALTY,BRAND AWARENESS,125,6311426,229216,13251,59615.14,1241281.04,3.63,5.78,2082.16
Whiteboard Sticky Channels,AWARENESS,ACQUISITION,69,2884547,9355,202,9736.71,13274.69,0.32,2.16,136.34
Morph Open-Source Functionalities,DISCOUNT,BRAND AWARENESS,53,1649740,94052,5340,8160.52,301839.51,5.7,5.68,3698.78
Deliver Virtual Eyeballs,LOYALTY,BRAND AWARENESS,150,8474122,219589,8733,74490.37,888606.49,2.59,3.98,1192.91
E-Enable Extensible E-Commerce,LOYALTY,RETENTION,151,8571534,319849,14290,87077.32,1531759.33,3.73,4.47,1759.08
Utilize Vertical Systems,LOYALTY,ACQUISITION,144,9088588,283713,13253,70476.3,1377087.4,3.12,4.67,1953.97
Empower Efficient Solutions,LOYALTY,ACQUISITION,142,6869165,276195,16042,56873.85,1926365.72,4.02,5.81,3387.09
Seize Collaborative Content,PROMOTIONAL,ENGAGEMENT,140,7407919,218837,5361,50916.75,347161.37,2.95,2.45,681.82
Deliver 24/365 Deliverables,PROMOTIONAL,ENGAGEMENT,117,7243717,66754,2396,45256.99,77221.76,0.92,3.59,170.63
Re-Contextualize Bricks-And-Clicks Niches,AWARENESS,ACQUISITION,138,6889681,50161,941,33912.27,50331.88,0.73,1.88,148.42
Cultivate Interactive Infrastructures,AWARENESS,RETENTION,132,5728868,51099,1465,30971.63,98044.14,0.89,2.87,316.56
Grow Magnetic Vortals,DISCOUNT,ENGAGEMENT,121,8218890,394750,25660,45067.61,1647629.32,4.8,6.5,3655.91
Visualize Web-Enabled Web Services,PROMOTIONAL,ACQUISITION,104,5754609,76135,2799,42240.94,252592.82,1.32,3.68,597.98
Utilize Innovative E-Tailers,LOYALTY,RETENTION,84,5172419,179674,8006,49155.19,985945.43,3.47,4.46,2005.78
Reinvent 24/365 Action-Items,PROMOTIONAL,ACQUISITION,44,1968464,46543,1755,13158.79,232496.69,2.36,3.77,1766.85
Scale Distributed Info-Mediaries,PROMOTIONAL,ENGAGEMENT,14,689614,10943,369,4053.59,18041.07,1.59,3.38,445.06
Brand Viral Niches,DISCOUNT,BRAND AWARENESS,102,4248131,201865,17061,17372.11,371388.63,4.75,8.45,2137.84
Cultivate Back-End E-Markets,LOYALTY,RETENTION,83,5083749,235048,15307,48933.33,2780466.61,4.62,6.51,5682.15
Orchestrate Cutting-Edge Technologies,DISCOUNT,ENGAGEMENT,81,5106924,244605,16946,23565.04,731835.57,4.79,6.93,3105.6
Exploit Holistic Interfaces,AWARENESS,ACQUISITION,43,2093964,15406,258,7177.53,24814.34,0.74,1.68,345.72
Unleash Bricks-And-Clicks E-Tailers,LOYALTY,BRAND AWARENESS,146,5691706,246004,11616,55739.28,937279.92,4.32,4.72,1681.54
Synergize Collaborative Deliverables,PROMOTIONAL,ENGAGEMENT,154,2136713,39133,1143,15874.93,81135.47,1.83,2.92,511.09
Incentivize Cross-Platform Mindshare,AWARENESS,BRAND AWARENESS,149,7150942,59374,905,33763.07,12146.98,0.83,1.53,35.98
Architect Real-Time Mindshare,LOYALTY,ENGAGEMENT,148,5728818,235229,11232,31852.39,1150083.95,4.11,4.78,3610.67
Engage Magnetic Technologies,AWARENESS,BRAND AWARENESS,139,7051420,28192,475,31785.94,4750.0,0.4,1.69,14.94
Morph Rich E-Business,PROMOTIONAL,RETENTION,120,6235951,72862,2605,40010.79,343569.76,1.17,3.58,858.69
Monetize Robust Models,PROMOTIONAL,RETENTION,99,5320355,143203,5358,35638.87,643281.25,2.69,3.74,1805.0
Utilize Mission-Critical E-Commerce,LOYALTY,BRAND AWARENESS,129,6990331,285725,16190,55418.17,1000788.26,4.09,5.67,1805.88
Architect Clicks-And-Mortar Schemas,AWARENESS,ACQUISITION,140,4276364,37733,895,12322.81,81771.61,0.88,2.37,663.58
Orchestrate Collaborative Models,PROMOTIONAL,ENGAGEMENT,131,6090283,116792,4491,60339.34,464496.5,1.92,3.85,769.81
Leverage Turn-Key Experiences,AWARENESS,BRAND AWARENESS,124,5903117,47169,261,26575.25,16295.44,0.8,0.55,61.32
Incubate Clicks-And-Mortar Functionalities,PROMOTIONAL,ACQUISITION,120,3046835,73867,2940,22372.55,146672.14,2.42,3.98,655.59
Transition Scalable Platforms,AWARENESS,ACQUISITION,117,8093758,66424,1235,33103.09,83471.35,0.82,1.86,252.16
Matrix Front-End Web-Readiness,LOYALTY,RETENTION,99,6278035,203663,7513,45093.36,628676.41,3.24,3.69,1394.17
Enable 24/7 Applications,PROMOTIONAL,ENGAGEMENT,109,5565066,132757,3359,29343.44,230490.91,2.39,2.53,785.49
Implement Strategic Markets,PROMOTIONAL,BRAND AWARENESS,100,5362384,123443,3079,23421.2,142315.51,2.3,2.49,607.64
Generate Web-Enabled Vortals,AWARENESS,ENGAGEMENT,79,4284469,16357,238,15498.74,11359.07,0.38,1.46,73.29
Drive 24/365 Convergence,PROMOTIONAL,BRAND AWARENESS,48,2054906,47306,1812,15317.81,101155.94,2.3,3.83,660.38
Generate Dot-Com Eyeballs,DISCOUNT,ENGAGEMENT,105,5047676,268387,17539,27891.87,1225066.39,5.32,6.54,4392.2
Generate Robust Supply-Chains,LOYALTY,BRAND AWARENESS,97,3164694,132756,8290,19423.0,648199.56,4.19,6.25,3337.28
Repurpose Ubiquitous Web Services,PROMOTIONAL,ACQUISITION,94,4077337,75894,2471,18180.96,283527.65,1.86,3.26,1559.48
Transform World-Class Functionalities,AWARENESS,ENGAGEMENT,75,4783429,36968,537,17413.34,25609.01,0.77,1.45,147.07
Aggregate Clicks-And-Mortar Metrics,AWARENESS,ACQUISITION,59,3076872,15203,282,10347.48,18270.63,0.49,1.86,176.57
Reinvent Leading-Edge Supply-Chains,AWARENESS,ENGAGEMENT,9,290413,564,8,1624.75,460.45,0.19,1.43,28.34
Visualize User-Centric Content,AWARENESS,BRAND AWARENESS,153,9792491,91622,1887,36464.78,111924.02,0.94,2.06,306.94
Brand Cutting-Edge Deliverables,PROMOTIONAL,RETENTION,157,5724725,152681,7167,40701.89,640108.16,2.67,4.69,1572.67
Integrate Dynamic Partnerships,AWARENESS,BRAND AWARENESS,139,8316092,53129,1284,41769.61,44493.18,0.64,2.42,106.52
E-Enable Plug-And-Play Web Services,DISCOUNT,BRAND AWARENESS,139,6444576,293112,19999,33823.65,239530.18,4.55,6.82,708.17
Empower Cross-Platform Paradigms,AWARENESS,BRAND AWARENESS,129,2244791,26184,581,10639.88,25021.23,1.17,2.22,235.16
Synthesize Robust Convergence,AWARENESS,BRAND AWARENESS,134,1633927,8312,164,6140.29,4600.3,0.51,1.98,74.92
Extend Vertical Metrics,PROMOTIONAL,BRAND AWARENESS,124,8246639,188854,6330,52583.3,227722.94,2.29,3.35,433.07
Re-Contextualize Innovative Networks,PROMOTIONAL,BRAND AWARENESS,107,4480115,82430,2380,25458.62,166102.45,1.84,2.89,652.44
Syndicate Rich Convergence,AWARENESS,RETENTION,105,4782744,48871,1241,24573.0,44966.49,1.02,2.54,182.99
Leverage Leading-Edge Eyeballs,DISCOUNT,BRAND AWARENESS,135,5442848,281328,22621,23930.35,2110604.12,5.17,8.04,8819.78
Harness Value-Added Vortals,AWARENESS,RETENTION,134,4951197,53151,946,22916.91,69453.14,1.07,1.78,303.07
Facilitate Dynamic Supply-Chains,PROMOTIONAL,BRAND AWARENESS,127,4788381,84244,3228,25818.18,168152.04,1.76,3.83,651.29
Evolve Proactive E-Tailers,LOYALTY,RETENTION,100,3886331,157956,7647,40379.82,1159086.71,4.06,4.84,2870.46
Engineer Viral Infrastructures,DISCOUNT,ACQUISITION,11,246517,11677,805,1457.7,64555.27,4.74,6.9,4428.57
Morph Magnetic Applications,DISCOUNT,BRAND AWARENESS,123,7850598,387309,29529,41299.58,959111.34,4.93,7.62,2322.33
Strategize Back-End Architectures,LOYALTY,ACQUISITION,111,4884473,152975,7570,39219.17,758404.73,3.13,4.95,1933.76
Repurpose Next-Generation Schemas,PROMOTIONAL,BRAND AWARENESS,130,7560141,213938,9362,45928.67,93620.0,2.83,4.38,203.84
Enable 24/365 Content,DISCOUNT,ENGAGEMENT,53,2927832,151855,11588,14578.81,600153.26,5.19,7.63,4116.61
Maximize Virtual Schemas,AWARENESS,BRAND AWARENESS,37,2039039,9492,129,8110.5,3768.97,0.47,1.37,46.47
Enhance Best-Of-Breed Bandwidth,LOYALTY,BRAND AWARENESS,5,237322,8938,426,1643.58,25540.8,3.77,4.78,1553.97
Incentivize Mission-Critical Applications,PROMOTIONAL,RETENTION,18,829730,15527,586,4196.99,68671.22,1.87,3.78,1636.2
Monetize Intuitive Action-Items,DISCOUNT,BRAND AWARENESS,13,727625,35210,2616,4326.07,221708.03,4.84,7.43,5124.93
Strategize Compelling Portals,AWARENESS,BRAND AWARENESS,2,111530,443,7,434.5,350.4,0.4,1.63,80.64
Synergize Distributed Interfaces,DISCOUNT,ENGAGEMENT,147,5981284,219557,15923,25598.03,664710.27,3.67,7.25,2596.72
Innovate Cross-Platform Systems,PROMOTIONAL,RETENTION,134,6082158,146447,5038,34126.49,655100.57,2.41,3.44,1919.62
Target Vertical Relationships,AWARENESS,RETENTION,141,6494415,52038,690,20712.95,52049.7,0.8,1.33,251.29
Generate Cross-Media Relationships,PROMOTIONAL,RETENTION,131,8855755,245970,7798,40802.91,928951.95,2.78,3.17,2276.68
Envisioneer World-Class Mindshare,AWARENESS,ENGAGEMENT,139,6528423,32146,564,29296.95,37417.97,0.49,1.75,127.72
Scale Cutting-Edge Markets,AWARENESS,RETENTION,147,7845718,88921,1493,41151.16,90454.52,1.13,1.68,219.81
Expedite Compelling Applications,PROMOTIONAL,BRAND AWARENESS,133,5334255,133690,5789,31253.66,123619.41,2.51,4.33,395.54
Extend User-Centric Solutions,PROMOTIONAL,ACQUISITION,71,4533232,85309,2843,28741.6,400599.21,1.88,3.33,1393.8
Synergize Web-Enabled Action-Items,PROMOTIONAL,ACQUISITION,139,6890353,176635,6520,37453.91,764921.37,2.56,3.69,2042.3
Grow Sticky Methodologies,PROMOTIONAL,BRAND AWARENESS,139,7560295,169867,5848,63416.72,351116.34,2.25,3.44,553.67
Transition Integrated Architectures,DISCOUNT,RETENTION,132,7654198,375943,25899,36086.92,2792170.88,4.91,6.89,7737.35
Incubate Proactive E-Tailers,DISCOUNT,RETENTION,124,7357704,344894,26411,24629.95,3086871.31,4.69,7.66,12533.0
Cultivate Back-End Functionalities,AWARENESS,BRAND AWARENESS,124,5548845,35283,539,19987.9,16187.01,0.64,1.53,80.98
Optimize Dot-Com Metrics,LOYALTY,BRAND AWARENESS,117,6104039,182278,9731,47599.37,271463.85,2.99,5.34,570.31
Enhance Back-End Info-Mediaries,AWARENESS,ENGAGEMENT,118,5425855,50853,1034,17236.11,59130.34,0.94,2.03,343.06
Morph Dynamic Markets,AWARENESS,ENGAGEMENT,70,2827187,17972,262,14591.24,7371.75,0.64,1.46,50.52
Engineer End-To-End E-Tailers,DISCOUNT,ENGAGEMENT,77,2657321,157108,9254,14487.09,622653.82,5.91,5.89,4297.99
Incubate Back-End E-Business,AWARENESS,ENGAGEMENT,17,760087,7564,132,3912.03,7115.6,1.0,1.75,181.89
Generate Dynamic Eyeballs,PROMOTIONAL,BRAND AWARENESS,120,6399488,128806,4165,41092.02,205543.95,2.01,3.23,500.2
Scale Viral Users,AWARENESS,ACQUISITION,136,7275996,70438,1153,29469.78,82262.51,0.97,1.64,279.14
Enhance Integrated Relationships,AWARENESS,ACQUISITION,118,6414079,49890,976,33566.2,91673.4,0.78,1.96,273.11
Engineer Robust E-Tailers,LOYALTY,RETENTION,97,5513733,233534,14130,31552.64,1781327.93,4.24,6.05,5645.57
Enable Next-Generation Schemas,DISCOUNT,RETENTION,93,4731345,278166,17886,19843.55,1600492.28,5.88,6.43,8065.55
Engage One-To-One Platforms,PROMOTIONAL,ACQUISITION,54,2724963,52652,2051,16055.38,205395.97,1.93,3.9,1279.3
Enhance User-Centric Users,DISCOUNT,BRAND AWARENESS,44,1586163,71453,5811,9142.09,103921.23,4.5,8.13,1136.73
