ORDER_DATE,TOTAL_REVIEWS,AVG_CUSTOMER_RATING,AVG_SELLER_RATING,AVG_SENTIMENT_SCORE
2025-07-17,2190,3.74,3.96,0.38
2025-07-30,2129,3.72,3.91,0.38
2025-08-20,2158,3.71,3.93,0.37
2025-08-31,2135,3.70,3.94,0.38
2025-09-25,2170,3.75,3.97,0.39
2025-10-12,2196,3.71,3.94,0.38
2025-11-05,2146,3.70,3.90,0.38
2025-11-08,2232,3.71,3.96,0.38
2025-11-10,2199,3.72,3.95,0.37
2025-11-13,2169,3.71,3.92,0.38
2025-11-26,2108,3.73,3.95,0.39
2025-12-02,2169,3.73,3.97,0.39
2025-12-05,2179,3.73,3.94,0.39
2025-12-08,2103,3.70,3.93,0.37
2025-12-21,2117,3.71,3.93,0.37
2025-12-25,2139,3.72,3.95,0.39
2025-12-26,2184,3.74,3.94,0.38
2026-01-04,2162,3.73,3.94,0.39
2026-01-10,2134,3.73,3.96,0.38
2026-01-14,2234,3.72,3.95,0.39
2026-01-16,2141,3.69,3.92,0.37
2026-01-26,2117,3.74,3.94,0.39
2026-01-27,2251,3.73,3.94,0.38
2026-02-06,2147,3.69,3.90,0.37
2026-03-16,2126,3.69,3.89,0.37
2026-03-22,2237,3.69,3.91,0.37
2026-04-02,2195,3.72,3.95,0.39
2025-04-03,2098,3.75,3.97,0.39
2025-04-13,2165,3.72,3.94,0.38
2025-04-21,2152,3.71,3.96,0.38
2025-04-25,2136,3.71,3.92,0.39
2025-04-26,2168,3.71,3.94,0.39
2025-05-06,2134,3.74,3.93,0.38
2025-05-30,2157,3.70,3.91,0.37
2025-06-01,2128,3.71,3.92,0.38
2025-06-03,2226,3.68,3.90,0.37
2025-06-05,2141,3.67,3.90,0.36
2025-06-06,2148,3.75,3.95,0.38
2025-07-08,2184,3.75,3.95,0.37
2025-07-20,2113,3.72,3.93,0.38
2025-07-24,2181,3.73,3.95,0.38
2025-08-02,2191,3.76,3.96,0.40
2025-08-17,2211,3.71,3.91,0.37
2025-08-21,2235,3.74,3.95,0.39
2025-08-30,2086,3.72,3.93,0.38
2025-09-04,2255,3.71,3.92,0.38
2025-09-11,2187,3.67,3.91,0.37
2025-09-14,2079,3.70,3.93,0.38
2025-09-15,2156,3.71,3.93,0.37
2025-09-16,2148,3.73,3.96,0.39
2025-09-26,2053,3.73,3.93,0.39
2025-09-28,2273,3.70,3.92,0.37
2025-10-11,2138,3.69,3.91,0.36
2025-10-18,2141,3.70,3.91,0.37
2025-10-22,2132,3.74,3.98,0.39
2025-10-26,2150,3.72,3.92,0.38
2025-11-01,2135,3.68,3.95,0.38
2025-11-04,2160,3.72,3.90,0.37
2025-11-11,2166,3.75,3.96,0.39
2025-11-20,2159,3.71,3.93,0.38
2025-12-06,2124,3.74,3.96,0.39
2025-12-23,2118,3.72,3.96,0.37
2025-12-24,2204,3.69,3.92,0.37
2025-12-28,2145,3.73,3.95,0.39
2026-01-02,2207,3.72,3.94,0.37
2026-01-11,2165,3.71,3.95,0.38
2026-01-18,2110,3.70,3.92,0.36
2026-01-22,2160,3.68,3.92,0.37
2026-01-31,2170,3.72,3.95,0.39
2026-02-01,2129,3.77,3.95,0.40
2026-02-11,2158,3.69,3.90,0.39
2026-02-15,2179,3.71,3.91,0.37
2026-02-24,2215,3.76,3.97,0.39
2026-02-26,2188,3.71,3.92,0.38
2026-02-28,2118,3.69,3.90,0.38
2026-03-03,2210,3.72,3.94,0.39
2026-03-11,2125,3.69,3.91,0.37
2026-03-13,2112,3.69,3.91,0.38
2026-03-27,2212,3.71,3.92,0.37
2026-03-31,2200,3.73,3.96,0.38
2025-04-02,2210,3.73,3.95,0.39
2025-04-07,2208,3.72,3.90,0.38
2025-04-10,2162,3.73,3.96,0.38
2025-04-12,2214,3.72,3.93,0.37
2025-04-16,2132,3.70,3.95,0.38
2025-04-19,2119,3.70,3.93,0.37
2025-06-07,2084,3.68,3.88,0.37
2025-06-12,2213,3.71,3.94,0.37
2025-06-26,2192,3.71,3.91,0.38
2025-07-01,2081,3.71,3.92,0.37
2025-07-23,2147,3.66,3.90,0.37
2025-07-28,2086,3.74,3.94,0.38
2025-07-31,2224,3.74,3.95,0.38
2025-08-03,2144,3.72,3.92,0.37
2025-08-08,2117,3.75,3.94,0.39
2025-08-14,2143,3.71,3.94,0.38
2025-08-23,2158,3.76,3.97,0.39
2025-08-26,2108,3.74,3.94,0.38
2025-09-06,2116,3.73,3.92,0.38
2025-09-07,2210,3.71,3.92,0.39
2025-09-09,2196,3.68,3.90,0.37
2025-09-20,2236,3.77,3.96,0.39
2025-09-21,2172,3.69,3.92,0.37
2025-09-23,2150,3.71,3.95,0.38
2025-09-29,2083,3.72,3.92,0.38
2025-10-10,2185,3.69,3.93,0.37
2025-10-16,2149,3.71,3.92,0.38
2025-10-19,2066,3.73,3.94,0.39
2025-11-02,2118,3.74,3.95,0.38
2025-11-12,2230,3.75,3.99,0.40
2025-11-27,2147,3.74,3.92,0.37
2025-11-29,2130,3.71,3.92,0.38
2025-12-01,2204,3.73,3.94,0.39
2025-12-03,2190,3.72,3.96,0.39
2025-12-10,2261,3.70,3.91,0.37
2025-12-16,2221,3.72,3.92,0.38
2025-12-19,2165,3.76,3.94,0.40
2025-12-30,2149,3.73,3.96,0.39
2025-12-31,2135,3.70,3.89,0.35
2026-01-08,2166,3.72,3.94,0.38
2026-01-20,2258,3.72,3.93,0.38
2026-01-21,2106,3.72,3.92,0.37
2026-01-24,2177,3.74,3.96,0.39
2026-01-30,2238,3.71,3.92,0.37
2026-02-07,2181,3.73,3.92,0.37
2026-02-16,2123,3.76,3.97,0.40
2026-02-19,2269,3.73,3.93,0.38
2026-02-20,2107,3.71,3.92,0.37
2026-03-01,2230,3.72,3.93,0.37
2026-03-20,2149,3.71,3.94,0.37
2026-03-23,2145,3.69,3.91,0.37
2026-03-24,2218,3.73,3.96,0.37
2026-04-01,2150,3.72,3.95,0.39
2025-05-02,2221,3.71,3.92,0.36
2025-05-10,2146,3.70,3.90,0.38
2025-05-11,2118,3.71,3.92,0.37
2025-05-14,2181,3.71,3.91,0.37
2025-05-15,2192,3.72,3.93,0.40
2025-05-29,2131,3.75,3.95,0.39
2025-06-04,2148,3.68,3.90,0.36
2025-06-13,2149,3.74,3.95,0.38
2025-06-25,2123,3.69,3.94,0.38
2025-06-27,2161,3.70,3.93,0.37
2025-07-02,2112,3.72,3.94,0.37
2025-07-03,2191,3.71,3.93,0.37
2025-07-05,2213,3.74,3.97,0.38
2025-07-12,2163,3.68,3.91,0.36
2025-07-13,2211,3.72,3.94,0.39
2025-07-14,2140,3.73,3.95,0.40
2025-07-18,2088,3.72,3.93,0.39
2025-07-22,2168,3.73,3.95,0.38
2025-08-15,2155,3.73,3.94,0.39
2025-08-22,2208,3.71,3.90,0.37
2025-08-28,2216,3.70,3.95,0.38
2025-09-22,2172,3.70,3.89,0.37
2025-10-09,2083,3.71,3.92,0.37
2025-10-27,2122,3.73,3.97,0.40
2025-10-28,2145,3.72,3.97,0.38
2025-10-29,2184,3.72,3.91,0.37
2025-10-30,2093,3.76,3.97,0.40
2025-11-09,2157,3.71,3.91,0.38
2025-11-23,2148,3.70,3.91,0.38
2025-12-22,2187,3.74,3.95,0.40
2026-01-06,2078,3.71,3.88,0.36
2026-01-13,2113,3.66,3.90,0.36
2026-01-29,2193,3.72,3.90,0.37
2026-02-03,2197,3.70,3.95,0.37
2026-02-09,2096,3.75,3.93,0.38
2026-02-10,2156,3.73,3.96,0.39
2026-02-17,2146,3.71,3.94,0.37
2026-02-22,2095,3.73,3.95,0.39
2026-02-23,2125,3.75,3.94,0.39
2026-02-25,2149,3.72,3.93,0.37
2026-02-27,2135,3.73,3.93,0.38
2026-03-12,2140,3.72,3.93,0.38
2026-03-15,2205,3.77,3.96,0.39
2026-03-18,2240,3.71,3.92,0.37
2026-03-21,2132,3.73,3.95,0.38
2026-03-30,2216,3.73,3.94,0.38
2025-04-08,2170,3.74,3.96,0.38
2025-04-27,2230,3.70,3.94,0.39
2025-04-30,2193,3.70,3.94,0.38
2025-05-01,2289,3.72,3.94,0.38
2025-05-25,2182,3.74,3.93,0.38
2025-06-02,2120,3.70,3.93,0.37
2025-06-15,2156,3.71,3.90,0.36
2025-06-16,2222,3.74,3.94,0.37
2025-06-28,2125,3.70,3.94,0.39
2025-06-29,2210,3.72,3.95,0.39
2025-07-11,2122,3.72,3.93,0.37
2025-07-25,2188,3.73,3.92,0.38
2025-07-26,2093,3.70,3.92,0.38
2025-07-27,2172,3.70,3.93,0.37
2025-08-04,2187,3.74,3.95,0.40
2025-08-19,2223,3.73,3.94,0.40
2025-09-17,2130,3.71,3.94,0.37
2025-09-30,2130,3.75,3.97,0.40
2025-10-01,2114,3.69,3.94,0.38
2025-10-08,2175,3.73,3.93,0.38
2025-10-15,2217,3.71,3.91,0.37
2025-10-20,2176,3.73,3.94,0.39
2025-10-31,2186,3.75,3.94,0.39
2025-11-06,2241,3.74,3.93,0.37
2025-11-17,2206,3.70,3.92,0.37
2025-11-18,2235,3.72,3.95,0.39
2025-11-24,2151,3.73,3.93,0.39
2025-12-14,2093,3.67,3.92,0.37
2025-12-20,2114,3.75,3.95,0.39
2026-02-02,2187,3.73,3.96,0.38
2026-02-08,2152,3.71,3.93,0.38
2026-02-14,2146,3.73,3.95,0.38
2026-03-08,2217,3.73,3.91,0.37
2026-03-14,2152,3.73,3.94,0.38
2026-03-26,2155,3.70,3.90,0.37
2025-04-17,2147,3.70,3.90,0.37
2025-05-07,2034,3.74,3.94,0.39
2025-05-08,2148,3.73,3.94,0.38
2025-05-17,2135,3.71,3.92,0.37
2025-05-26,2059,3.73,3.94,0.39
2025-06-14,2222,3.73,3.97,0.40
2025-06-21,2212,3.69,3.94,0.38
2025-06-24,2151,3.73,3.94,0.38
2025-06-30,2218,3.74,3.94,0.38
2025-07-09,2193,3.73,3.95,0.39
2025-07-29,2176,3.73,3.97,0.39
2025-08-05,2157,3.72,3.93,0.37
2025-08-12,2160,3.72,3.93,0.38
2025-08-16,2159,3.71,3.93,0.37
2025-08-18,2141,3.67,3.92,0.37
2025-08-27,2201,3.72,3.92,0.37
2025-09-10,2103,3.74,3.95,0.39
2025-10-02,2047,3.70,3.95,0.39
2025-10-03,2106,3.71,3.93,0.38
2025-10-07,2151,3.74,3.95,0.38
2025-10-17,2217,3.70,3.93,0.37
2025-10-24,2202,3.70,3.90,0.37
2025-10-25,2045,3.73,3.94,0.38
2025-11-07,2165,3.75,3.97,0.39
2025-11-19,2169,3.71,3.94,0.38
2025-11-21,2115,3.73,3.93,0.39
2025-11-22,2171,3.76,3.93,0.38
2025-11-25,2193,3.75,3.94,0.38
2025-11-28,2135,3.74,3.93,0.37
2025-12-09,2128,3.71,3.94,0.38
2025-12-13,2138,3.71,3.93,0.39
2025-12-27,2156,3.72,3.92,0.38
2026-01-01,2132,3.69,3.91,0.37
2026-01-05,2233,3.72,3.97,0.39
2026-01-23,2146,3.71,3.95,0.38
2026-02-04,2145,3.74,3.95,0.38
2026-02-05,2113,3.72,3.92,0.36
2026-02-13,2146,3.70,3.92,0.36
2026-02-18,2178,3.73,3.95,0.38
2026-03-02,2284,3.74,3.94,0.38
2026-03-05,2189,3.72,3.96,0.39
2026-03-06,2051,3.71,3.93,0.37
2026-03-10,2174,3.70,3.92,0.36
2025-04-14,2216,3.69,3.93,0.37
2025-04-15,2203,3.72,3.92,0.39
2025-04-22,2150,3.70,3.97,0.39
2025-04-24,2130,3.70,3.94,0.38
2025-05-04,2211,3.70,3.93,0.37
2025-05-05,2165,3.69,3.89,0.36
2025-05-09,2145,3.74,3.96,0.38
2025-05-12,2205,3.72,3.90,0.38
2025-05-19,2153,3.74,3.96,0.39
2025-05-21,2168,3.68,3.89,0.36
2025-05-22,2174,3.74,3.96,0.39
2025-05-23,2203,3.74,3.96,0.39
2025-05-24,2090,3.73,3.95,0.38
2025-05-27,2139,3.70,3.92,0.37
2025-06-10,2107,3.70,3.96,0.38
2025-06-22,2134,3.75,3.95,0.38
2025-07-04,2139,3.70,3.93,0.38
2025-07-07,2162,3.73,3.96,0.38
2025-07-15,2254,3.71,3.94,0.38
2025-07-19,2164,3.75,3.98,0.39
2025-08-06,2166,3.71,3.94,0.37
2025-08-07,2202,3.72,3.93,0.38
2025-08-11,2162,3.77,4.00,0.39
2025-08-25,2106,3.73,3.94,0.38
2025-09-03,2127,3.74,3.95,0.39
2025-09-05,2210,3.67,3.92,0.37
2025-09-08,2135,3.69,3.91,0.37
2025-09-12,2144,3.67,3.91,0.36
2025-09-19,2163,3.72,3.91,0.38
2025-09-24,2138,3.70,3.93,0.37
2025-10-04,2215,3.75,3.98,0.39
2025-10-14,2113,3.70,3.90,0.37
2025-11-03,2229,3.72,3.92,0.37
2025-11-14,2135,3.73,3.96,0.39
2025-11-15,2194,3.73,3.93,0.37
2025-11-16,2113,3.72,3.94,0.37
2025-11-30,2110,3.72,3.93,0.37
2025-12-04,2169,3.76,3.94,0.40
2025-12-07,2116,3.71,3.94,0.37
2025-12-17,2114,3.71,3.93,0.37
2026-01-03,2134,3.72,3.94,0.39
2026-01-07,2118,3.72,3.95,0.39
2026-01-12,2156,3.73,3.96,0.40
2026-01-15,2227,3.72,3.94,0.38
2026-01-19,2128,3.77,3.97,0.40
2026-01-25,2204,3.72,3.93,0.38
2026-01-28,2217,3.71,3.92,0.36
2026-02-12,2129,3.72,3.92,0.37
2026-03-04,2064,3.72,3.94,0.38
2026-03-07,2190,3.77,4.00,0.39
2026-03-09,2151,3.69,3.92,0.38
2026-03-29,2135,3.77,3.95,0.39
