ORDER_DATE,TOTAL_ORDERS,AVG_DELAY,AVG_RATING,ON_TIME_RATE,DELAY_RATE
2025-06-13,2149,0.44,4.01,65.38,34.62
2025-06-23,2096,0.43,4.02,66.70,33.30
2025-07-02,2112,0.44,4.02,64.91,35.09
2025-07-10,2105,0.46,3.99,63.85,36.15
2025-07-13,2211,0.42,4.03,66.58,33.42
2025-07-27,2172,0.45,3.99,64.92,35.08
2025-08-08,2117,0.47,3.98,63.01,36.99
2025-08-17,2211,0.45,4.00,64.90,35.10
2025-09-02,2247,0.47,3.98,64.17,35.83
2025-09-07,2210,0.44,4.02,65.66,34.34
2025-09-13,2170,0.45,4.00,64.88,35.12
2025-09-30,2130,0.45,3.99,64.23,35.77
2025-10-09,2083,0.43,4.01,65.63,34.37
2025-10-15,2217,0.46,3.99,64.05,35.95
2025-11-06,2241,0.45,4.01,65.10,34.90
2025-11-09,2157,0.46,3.99,64.44,35.56
2025-11-24,2151,0.45,4.01,64.71,35.29
2025-11-28,2135,0.47,3.98,64.92,35.08
2025-12-01,2204,0.46,4.00,63.79,36.21
2025-12-02,2169,0.39,4.08,68.33,31.67
2025-12-04,2169,0.45,4.00,64.45,35.55
2025-12-20,2114,0.45,4.00,65.28,34.72
2026-01-04,2162,0.46,3.99,63.83,36.17
2026-01-09,2154,0.44,4.01,66.20,33.80
2026-01-22,2160,0.46,4.01,65.05,34.95
2026-01-26,2117,0.46,3.98,64.57,35.43
2026-02-05,2113,0.42,4.03,67.39,32.61
2026-02-10,2156,0.44,4.00,65.26,34.74
2026-02-11,2158,0.44,4.03,65.94,34.06
2026-02-12,2129,0.47,3.99,63.93,36.07
2026-02-16,2123,0.43,4.00,66.23,33.77
2026-02-25,2149,0.44,4.01,66.12,33.88
2026-02-28,2118,0.43,4.02,65.68,34.32
2026-03-15,2205,0.45,4.01,65.35,34.65
2026-03-21,2132,0.44,3.99,66.14,33.86
2025-04-19,2119,0.44,4.02,65.79,34.21
2025-04-21,2152,0.48,3.97,63.57,36.43
2025-04-28,2172,0.46,4.00,64.04,35.96
2025-05-07,2034,0.43,4.02,66.08,33.92
2025-06-05,2141,0.45,4.01,65.44,34.56
2025-06-18,2149,0.43,4.01,65.38,34.62
2025-06-21,2212,0.48,3.97,63.43,36.57
2025-07-04,2139,0.44,4.00,65.54,34.46
2025-07-15,2254,0.45,3.99,65.04,34.96
2025-07-17,2190,0.45,3.99,64.25,35.75
2025-07-31,2224,0.45,4.00,65.15,34.85
2025-08-02,2191,0.46,4.00,64.81,35.19
2025-08-31,2135,0.45,4.00,65.01,34.99
2025-09-05,2210,0.45,4.00,64.07,35.93
2025-09-10,2103,0.44,4.02,66.14,33.86
2025-09-20,2236,0.45,4.02,64.89,35.11
2025-09-22,2172,0.47,3.98,64.46,35.54
2025-09-25,2170,0.45,3.98,65.44,34.56
2025-10-12,2196,0.47,3.98,63.93,36.07
2025-10-18,2141,0.46,3.99,64.36,35.64
2025-10-19,2066,0.43,4.02,66.70,33.30
2025-10-30,2093,0.44,4.04,65.46,34.54
2025-11-11,2166,0.42,4.04,66.44,33.56
2025-11-29,2130,0.45,4.01,65.02,34.98
2025-12-17,2114,0.44,4.00,65.99,34.01
2025-12-22,2187,0.44,4.01,65.25,34.75
2025-12-25,2139,0.45,4.00,64.33,35.67
2026-01-01,2132,0.45,4.00,64.96,35.04
2026-01-12,2156,0.46,3.98,64.01,35.99
2026-01-23,2146,0.47,3.98,64.26,35.74
2026-01-29,2193,0.46,3.98,64.48,35.52
2026-02-06,2147,0.45,4.01,64.69,35.31
2026-02-19,2269,0.45,4.00,64.35,35.65
2026-03-02,2284,0.44,4.01,65.41,34.59
2026-03-12,2140,0.41,4.05,67.24,32.76
2026-03-13,2112,0.45,3.99,64.91,35.09
2026-03-19,2204,0.44,4.00,65.83,34.17
2026-03-27,2212,0.45,4.00,64.74,35.26
2025-04-02,2210,0.44,4.02,65.75,34.25
2025-04-11,2131,0.45,4.00,64.48,35.52
2025-04-15,2203,0.46,4.00,63.96,36.04
2025-04-17,2147,0.45,4.01,64.37,35.63
2025-04-30,2193,0.43,4.01,66.44,33.56
2025-05-05,2165,0.46,3.99,64.25,35.75
2025-05-09,2145,0.46,3.98,63.96,36.04
2025-05-12,2205,0.45,4.02,65.22,34.78
2025-05-22,2174,0.43,4.02,65.78,34.22
2025-05-27,2139,0.45,3.99,64.75,35.25
2025-05-30,2157,0.46,3.98,65.00,35.00
2025-06-07,2084,0.44,4.00,65.98,34.02
2025-06-20,2175,0.46,3.99,64.46,35.54
2025-06-24,2151,0.45,3.99,64.95,35.05
2025-06-30,2218,0.47,3.98,63.35,36.65
2025-07-05,2213,0.43,4.02,65.88,34.12
2025-07-07,2162,0.45,4.00,64.43,35.57
2025-07-20,2113,0.46,4.00,64.27,35.73
2025-08-18,2141,0.46,3.99,63.71,36.29
2025-08-19,2223,0.44,4.03,65.59,34.41
2025-08-21,2235,0.45,4.01,65.19,34.81
2025-09-04,2255,0.43,4.02,66.39,33.61
2025-09-08,2135,0.47,3.98,63.98,36.02
2025-09-19,2163,0.46,3.99,63.99,36.01
2025-09-28,2273,0.46,3.98,64.19,35.81
2025-10-01,2114,0.44,4.01,66.08,33.92
2025-10-11,2138,0.45,3.98,64.73,35.27
2025-10-20,2176,0.46,3.98,65.07,34.93
2025-11-01,2135,0.46,3.98,64.96,35.04
2025-11-02,2118,0.45,4.01,63.79,36.21
2025-11-16,2113,0.45,3.99,64.32,35.68
2025-12-10,2261,0.46,4.00,64.26,35.74
2025-12-11,2205,0.46,3.99,64.40,35.60
2025-12-13,2138,0.43,4.03,66.51,33.49
2025-12-18,2147,0.47,3.96,64.28,35.72
2025-12-28,2145,0.45,3.99,64.99,35.01
2026-01-16,2141,0.45,4.00,64.64,35.36
2026-01-17,2116,0.44,4.01,65.12,34.88
2026-01-24,2177,0.45,3.99,64.68,35.32
2026-02-01,2129,0.44,4.00,66.13,33.87
2026-02-07,2181,0.46,4.00,64.79,35.21
2026-02-08,2152,0.47,3.96,63.01,36.99
2026-02-09,2096,0.48,3.96,63.55,36.45
2026-02-20,2107,0.46,3.99,63.74,36.26
2026-03-05,2189,0.46,3.99,64.41,35.59
2026-03-08,2217,0.46,3.99,65.13,34.87
2026-03-09,2151,0.44,4.02,65.69,34.31
2026-03-14,2152,0.43,4.00,66.45,33.55
2026-03-22,2237,0.44,4.01,65.89,34.11
2026-03-29,2135,0.47,3.99,63.70,36.30
2026-03-30,2216,0.44,4.02,65.21,34.79
2026-03-31,2200,0.46,3.98,64.00,36.00
2025-04-06,2173,0.45,4.00,65.53,34.47
2025-04-09,2190,0.42,4.03,66.67,33.33
2025-04-23,2204,0.46,3.99,64.16,35.84
2025-04-29,2185,0.45,4.00,65.31,34.69
2025-05-02,2221,0.44,4.02,64.84,35.16
2025-05-08,2148,0.45,3.98,65.22,34.78
2025-05-26,2059,0.46,3.98,64.69,35.31
2025-06-10,2107,0.47,3.99,63.83,36.17
2025-06-17,2184,0.47,4.00,64.33,35.67
2025-06-28,2125,0.47,3.97,63.67,36.33
2025-07-03,2191,0.46,4.00,64.03,35.97
2025-07-06,2271,0.46,3.98,64.64,35.36
2025-07-19,2164,0.46,3.98,63.59,36.41
2025-07-26,2093,0.43,4.01,66.99,33.01
2025-08-03,2144,0.47,3.97,63.85,36.15
2025-08-16,2159,0.43,4.02,66.98,33.02
2025-08-22,2208,0.44,4.02,66.62,33.38
2025-08-23,2158,0.43,4.02,66.13,33.87
2025-08-24,2177,0.43,4.01,66.70,33.30
2025-08-26,2108,0.48,3.97,63.05,36.95
2025-09-11,2187,0.44,4.01,65.98,34.02
2025-09-15,2156,0.46,3.99,63.78,36.22
2025-09-23,2150,0.44,4.02,66.23,33.77
2025-09-24,2138,0.44,4.01,65.76,34.24
2025-10-04,2215,0.48,3.95,63.39,36.61
2025-10-14,2113,0.44,4.01,65.45,34.55
2025-10-16,2149,0.46,3.98,64.36,35.64
2025-11-04,2160,0.43,4.01,66.20,33.80
2025-11-12,2230,0.46,4.01,63.95,36.05
2025-11-14,2135,0.44,4.01,65.67,34.33
2025-11-23,2148,0.46,3.98,64.34,35.66
2025-11-26,2108,0.47,3.97,64.28,35.72
2025-11-30,2110,0.45,3.99,64.83,35.17
2025-12-05,2179,0.44,4.01,64.94,35.06
2025-12-06,2124,0.47,3.96,63.79,36.21
2025-12-14,2093,0.43,4.02,66.22,33.78
2025-12-16,2221,0.44,4.01,65.33,34.67
2025-12-31,2135,0.44,4.01,65.81,34.19
2026-01-07,2118,0.42,4.04,66.38,33.62
2026-01-10,2134,0.47,3.97,64.25,35.75
2026-01-11,2165,0.44,4.01,65.27,34.73
2026-01-19,2128,0.47,3.97,63.53,36.47
2026-01-28,2217,0.44,3.99,65.90,34.10
2026-01-31,2170,0.46,3.99,64.42,35.58
2026-02-21,2180,0.47,3.99,63.35,36.65
2026-02-22,2095,0.47,3.99,63.72,36.28
2026-03-03,2210,0.44,4.01,65.48,34.52
2026-03-06,2051,0.44,4.01,65.77,34.23
2026-03-17,2215,0.45,4.02,64.15,35.85
2026-03-18,2240,0.44,4.00,65.89,34.11
2025-04-05,2156,0.48,3.96,63.22,36.78
2025-04-16,2132,0.48,3.95,63.09,36.91
2025-04-22,2150,0.43,4.03,66.37,33.63
2025-04-26,2168,0.45,4.00,65.22,34.78
2025-04-27,2230,0.43,4.04,65.65,34.35
2025-05-03,2114,0.47,3.98,64.24,35.76
2025-05-06,2134,0.45,3.99,65.37,34.63
2025-05-16,2112,0.46,3.99,64.44,35.56
2025-05-23,2203,0.47,4.00,63.78,36.22
2025-05-25,2182,0.45,3.99,65.08,34.92
2025-06-03,2226,0.44,4.01,65.54,34.46
2025-06-04,2148,0.44,4.02,65.08,34.92
2025-07-12,2163,0.44,4.00,65.97,34.03
2025-07-16,2201,0.45,4.00,64.65,35.35
2025-07-22,2168,0.45,4.00,65.18,34.82
2025-07-24,2181,0.44,4.02,65.43,34.57
2025-07-25,2188,0.45,3.99,65.04,34.96
2025-07-29,2176,0.47,3.97,63.69,36.31
2025-08-05,2157,0.45,4.01,64.90,35.10
2025-08-11,2162,0.44,4.02,66.28,33.72
2025-08-27,2201,0.44,3.99,65.97,34.03
2025-09-12,2144,0.47,3.98,64.88,35.12
2025-09-14,2079,0.43,4.01,66.33,33.67
2025-09-26,2053,0.42,4.03,66.73,33.27
2025-10-05,2104,0.43,4.01,66.35,33.65
2025-10-06,2187,0.45,4.01,64.65,35.35
2025-10-07,2151,0.47,3.98,63.32,36.68
2025-10-08,2175,0.46,3.98,64.05,35.95
2025-10-13,2093,0.46,4.00,64.36,35.64
2025-10-17,2217,0.46,3.98,64.10,35.90
2025-10-25,2045,0.46,4.01,64.21,35.79
2025-10-31,2186,0.46,3.99,64.64,35.36
2025-11-03,2229,0.47,3.97,63.03,36.97
2025-11-07,2165,0.44,4.00,66.14,33.86
2025-11-27,2147,0.45,4.00,65.07,34.93
2025-12-21,2117,0.44,4.00,65.47,34.53
2025-12-23,2118,0.47,3.99,62.56,37.44
2025-12-24,2204,0.44,4.01,65.25,34.75
2025-12-26,2184,0.47,3.99,64.33,35.67
2025-12-30,2149,0.44,4.03,65.57,34.43
2026-01-03,2134,0.44,4.00,66.78,33.22
2026-01-05,2233,0.44,4.02,64.67,35.33
2026-02-13,2146,0.45,4.02,64.49,35.51
2026-02-24,2215,0.46,3.99,64.24,35.76
2026-02-27,2135,0.45,4.00,65.11,34.89
2026-03-01,2230,0.44,4.02,65.25,34.75
2026-03-04,2064,0.46,3.98,64.68,35.32
2026-03-23,2145,0.44,4.00,65.64,34.36
2025-04-07,2208,0.47,3.97,63.36,36.64
2025-04-10,2162,0.47,3.97,64.43,35.57
2025-04-14,2216,0.45,4.00,64.58,35.42
2025-05-18,2187,0.46,4.00,63.47,36.53
2025-05-20,2144,0.44,4.00,65.86,34.14
2025-05-24,2090,0.46,3.99,64.02,35.98
2025-06-02,2120,0.47,4.00,64.20,35.80
2025-06-06,2148,0.44,4.01,65.74,34.26
2025-06-16,2222,0.45,3.99,64.49,35.51
2025-06-26,2192,0.46,4.01,64.60,35.40
2025-06-27,2161,0.44,4.01,65.34,34.66
2025-06-29,2210,0.44,4.00,64.66,35.34
2025-07-01,2081,0.45,4.00,64.44,35.56
2025-07-08,2184,0.47,3.99,63.55,36.45
2025-07-09,2193,0.45,4.00,65.53,34.47
2025-07-11,2122,0.42,4.04,67.44,32.56
2025-07-18,2088,0.46,3.99,64.27,35.73
2025-07-23,2147,0.46,4.01,64.56,35.44
2025-07-28,2086,0.43,4.03,66.68,33.32
2025-07-30,2129,0.45,3.99,65.19,34.81
2025-08-01,2136,0.46,3.98,64.19,35.81
2025-08-12,2160,0.44,4.01,65.42,34.58
2025-08-13,2185,0.45,4.01,64.44,35.56
2025-09-16,2148,0.45,4.00,64.66,35.34
2025-09-27,2202,0.44,4.03,64.99,35.01
2025-10-10,2185,0.46,3.99,64.62,35.38
2025-10-21,2138,0.45,3.99,64.55,35.45
2025-10-23,2214,0.45,4.00,65.40,34.60
2025-10-28,2145,0.45,4.00,64.90,35.10
2025-11-10,2199,0.46,3.98,64.44,35.56
2025-11-13,2169,0.46,3.98,64.08,35.92
2025-11-25,2193,0.45,4.00,64.34,35.66
2025-12-07,2116,0.44,4.01,65.45,34.55
2025-12-08,2103,0.43,4.02,66.67,33.33
2025-12-15,2158,0.48,3.97,62.60,37.40
2025-12-19,2165,0.46,3.98,64.99,35.01
2025-12-27,2156,0.47,3.97,63.96,36.04
2025-12-29,2155,0.47,3.98,63.85,36.15
2026-01-18,2110,0.45,4.00,64.74,35.26
2026-01-21,2106,0.44,4.01,65.57,34.43
2026-01-25,2204,0.44,4.03,66.06,33.94
2026-02-02,2187,0.46,3.99,64.11,35.89
2026-02-03,2197,0.45,4.01,64.95,35.05
2026-03-07,2190,0.44,4.01,65.57,34.43
2026-03-10,2174,0.45,4.00,65.55,34.45
2026-03-24,2218,0.44,4.01,66.19,33.81
2026-04-02,2195,0.43,4.02,65.83,34.17
2025-04-04,2158,0.44,4.01,65.62,34.38
2025-04-08,2170,0.44,4.01,65.53,34.47
2025-04-12,2214,0.46,3.99,64.00,36.00
2025-04-18,2193,0.44,4.00,65.44,34.56
2025-05-04,2211,0.44,4.02,65.81,34.19
2025-05-15,2192,0.47,3.97,63.59,36.41
2025-05-19,2153,0.47,3.99,63.68,36.32
2025-05-21,2168,0.43,4.04,66.47,33.53
2025-05-29,2131,0.47,3.98,63.77,36.23
2025-06-12,2213,0.45,4.00,64.66,35.34
2025-06-14,2222,0.44,4.01,65.62,34.38
2025-06-15,2156,0.45,4.02,64.84,35.16
2025-07-14,2140,0.46,4.01,63.97,36.03
2025-08-06,2166,0.43,4.02,66.16,33.84
2025-08-14,2143,0.46,3.99,64.07,35.93
2025-08-20,2158,0.45,3.99,65.15,34.85
2025-08-30,2086,0.46,4.00,64.33,35.67
2025-09-01,2111,0.45,4.00,65.51,34.49
2025-09-09,2196,0.45,4.01,65.30,34.70
2025-09-17,2130,0.43,4.03,66.34,33.66
2025-09-18,2107,0.44,4.01,65.78,34.22
2025-10-24,2202,0.49,3.96,62.67,37.33
2025-11-15,2194,0.44,4.00,65.59,34.41
2025-11-17,2206,0.48,3.97,62.78,37.22
2025-11-20,2159,0.44,4.02,64.71,35.29
2025-12-03,2190,0.42,4.01,67.08,32.92
2025-12-09,2128,0.41,4.06,67.58,32.42
2025-12-12,2196,0.46,4.00,65.07,34.93
2026-01-06,2078,0.48,3.98,63.28,36.72
2026-01-14,2234,0.44,4.02,64.95,35.05
2026-01-15,2227,0.47,3.99,63.67,36.33
2026-02-04,2145,0.44,4.01,66.25,33.75
2026-02-23,2125,0.45,4.01,64.19,35.81
2026-02-26,2188,0.44,4.00,65.17,34.83
2026-03-11,2125,0.47,3.98,64.00,36.00
2026-03-16,2126,0.45,4.00,63.92,36.08
2026-03-25,2115,0.44,4.01,66.10,33.90
2026-03-26,2155,0.42,4.04,67.15,32.85
2026-03-28,2160,0.44,4.02,65.00,35.00
2026-04-01,2150,0.48,3.98,63.40,36.60
